step,alteration,octave,pitch,type,duration,measureCount,voice
F,,4,F4,half,2.0,0,1329831206656
C,,5,C5,whole,4.0,1,1329831206656
C,,5,C5,half,2.0,1,1329831206656
C,,5,C5,whole,4.0,1,1329831206656
C,,5,C5,half,2.0,1,1329831206656
D,,5,D5,whole,6.0,2,1329831206656
D,,5,D5,whole,4.0,2,1329831206656
F,,5,F5,half,2.0,2,1329831206656
E,,5,E5,whole,4.0,3,1329831206656
D,,5,D5,half,2.0,3,1329831206656
C,,5,C5,whole,4.0,3,1329831206656
B,-1,4,B[-1]4,half,2.0,3,1329831206656
A,,4,A4,whole,6.0,4,1329831206656
A,,4,A4,whole,4.0,4,1329831206656
A,,4,A4,half,2.0,4,1329831206656
C,,5,C5,whole,4.0,5,1329831206656
B,-1,4,B[-1]4,half,2.0,5,1329831206656
A,,4,A4,whole,4.0,5,1329831206656
G,,4,G4,half,2.0,5,1329831206656
F,,4,F4,whole,6.0,6,1329831206656
D,,4,D4,whole,4.0,6,1329831206656
F,,4,F4,quarter,1.0,6,1329831206656
F,,4,F4,quarter,1.0,6,1329831206656
G,,4,G4,whole,4.0,7,1329831206656
B,-1,4,B[-1]4,half,2.0,7,1329831206656
A,,4,A4,whole,4.0,7,1329831206656
G,,4,G4,half,2.0,7,1329831206656
F,,4,F4,whole,6.0,8,1329831206656
F,,4,F4,whole,4.0,8,1329831206656
Rest,,,Rest,half,2.0,8,1329831206656
