step,alteration,octave,pitch,type,duration,measureCount,voice
D,,5,D5,quarter,1.0,0,1329799965392
D,,5,D5,quarter,1.0,1,1329799965392
D,,5,D5,quarter,1.0,1,1329799965392
D,,5,D5,quarter,1.0,1,1329799965392
D,,5,D5,quarter,1.0,2,1329799965392
E,,5,E5,quarter,1.0,2,1329799965392
F,1,5,F[1]5,quarter,1.0,2,1329799965392
G,,5,G5,half,2.0,3,1329799965392
F,1,5,F[1]5,quarter,1.0,3,1329799965392
E,,5,E5,half,2.0,4,1329799965392
D,,5,D5,quarter,1.0,4,1329799965392
D,,5,D5,quarter,1.5,5,1329799965392
C,,5,C5,eighth,0.5,5,1329799965392
B,,4,B4,eighth,0.5,5,1329799965392
A,,4,A4,eighth,0.5,5,1329799965392
G,,4,G4,half,2.0,6,1329799965392
D,,5,D5,quarter,1.0,6,1329799965392
D,,5,D5,quarter,1.0,7,1329799965392
D,,5,D5,quarter,1.0,7,1329799965392
D,,5,D5,quarter,1.0,7,1329799965392
D,,5,D5,quarter,1.0,8,1329799965392
E,,5,E5,quarter,1.0,8,1329799965392
F,1,5,F[1]5,quarter,1.0,8,1329799965392
G,,5,G5,half,2.0,9,1329799965392
F,1,5,F[1]5,quarter,1.0,9,1329799965392
E,,5,E5,half,2.0,10,1329799965392
D,,5,D5,quarter,1.0,10,1329799965392
D,,5,D5,quarter,1.5,11,1329799965392
C,,5,C5,eighth,0.5,11,1329799965392
B,,4,B4,eighth,0.5,11,1329799965392
A,,4,A4,eighth,0.5,11,1329799965392
G,,4,G4,half,2.0,12,1329799965392
Rest,,,Rest,quarter,1.0,12,1329799965392
A,,4,A4,quarter,1.0,13,1329799965392
A,,4,A4,quarter,1.0,13,1329799965392
A,,4,A4,quarter,1.0,13,1329799965392
A,,4,A4,quarter,1.0,14,1329799965392
B,,4,B4,quarter,1.0,14,1329799965392
C,,5,C5,quarter,1.0,14,1329799965392
D,,5,D5,quarter,1.5,15,1329799965392
C,,5,C5,eighth,0.5,15,1329799965392
B,,4,B4,quarter,1.0,15,1329799965392
A,,4,A4,half,2.0,16,1329799965392
B,,4,B4,quarter,1.0,16,1329799965392
A,,4,A4,quarter,1.5,17,1329799965392
G,,4,G4,eighth,0.5,17,1329799965392
F,1,4,F[1]4,quarter,1.0,17,1329799965392
G,,4,G4,half,2.0,18,1329799965392
B,,4,B4,quarter,1.0,18,1329799965392
A,,4,A4,quarter,1.5,19,1329799965392
G,,4,G4,eighth,0.5,19,1329799965392
F,1,4,F[1]4,quarter,1.0,19,1329799965392
G,,4,G4,half,2.0,20,1329799965392
Rest,,,Rest,quarter,1.0,20,1329799965392
