step,alteration,octave,pitch,type,duration,measureCount,voice
G,,4,G4,half,2.0,0,1329830721664
G,,4,G4,half,2.0,0,1329830721664
G,,4,G4,half,2.0,0,1329830721664
F,1,4,F[1]4,half,2.0,1,1329830721664
B,-1,4,B[-1]4,half,2.0,1,1329830721664
A,,4,A4,half,2.0,1,1329830721664
G,,4,G4,half,2.0,1,1329830721664
F,1,4,F[1]4,half,2.0,2,1329830721664
Rest,,,Rest,quarter,1.0,2,1329830721664
F,1,4,F[1]4,quarter,1.0,2,1329830721664
F,1,4,F[1]4,quarter,1.0,2,1329830721664
D,,4,D4,quarter,1.0,2,1329830721664
E,,4,E4,quarter,1.0,2,1329830721664
F,1,4,F[1]4,quarter,1.0,2,1329830721664
G,,4,G4,half,2.0,3,1329830721664
G,,4,G4,half,2.0,3,1329830721664
E,,4,E4,half,2.0,3,1329830721664
F,1,4,F[1]4,half,2.0,3,1329830721664
G,,4,G4,whole,4.0,4,1329830721664
Rest,,,Rest,half,2.0,4,1329830721664
A,,4,A4,quarter,1.0,4,1329830721664
B,-1,4,B[-1]4,quarter,1.0,4,1329830721664
C,,5,C5,half,2.0,5,1329830721664
B,-1,4,B[-1]4,half,2.0,5,1329830721664
A,,4,A4,half,2.0,5,1329830721664
C,,5,C5,half,2.0,5,1329830721664
F,0,4,F4,half,2.0,6,1329830721664
A,,4,A4,half,2.0,6,1329830721664
B,-1,4,B[-1]4,half,2.0,6,1329830721664
B,,4,B4,half,2.0,6,1329830721664
A,,4,A4,half,2.0,7,1329830721664
G,,4,G4,half,2.0,7,1329830721664
F,1,4,F[1]4,half,2.0,7,1329830721664
Rest,,,Rest,quarter,1.0,7,1329830721664
F,1,4,F[1]4,quarter,1.0,7,1329830721664
F,1,4,F[1]4,quarter,1.0,8,1329830721664
D,,4,D4,quarter,1.0,8,1329830721664
E,,4,E4,quarter,1.0,8,1329830721664
F,1,4,F[1]4,quarter,1.0,8,1329830721664
G,,4,G4,half,2.0,8,1329830721664
G,,4,G4,half,2.0,8,1329830721664
E,,4,E4,half,2.0,9,1329830721664
F,1,4,F[1]4,half,2.0,9,1329830721664
G,,4,G4,whole,4.0,9,1329830721664
Rest,,,Rest,half,2.0,10,1329830721664
Rest,,,Rest,whole,6.0,10,1329830721664
