step,alteration,octave,pitch,type,duration,measureCount,voice
D,,5,D5,eighth,0.5,0,1329830723152
B,-1,4,B[-1]4,quarter,1.0,1,1329830723152
A,,4,A4,eighth,0.5,1,1329830723152
G,,4,G4,quarter,1.0,1,1329830723152
F,0,4,F4,eighth,0.5,1,1329830723152
G,,4,G4,quarter,1.0,2,1329830723152
A,,4,A4,eighth,0.5,2,1329830723152
B,-1,4,B[-1]4,quarter,1.0,2,1329830723152
D,,5,D5,eighth,0.5,2,1329830723152
B,-1,4,B[-1]4,quarter,1.0,3,1329830723152
A,,4,A4,eighth,0.5,3,1329830723152
G,,4,G4,quarter,1.0,3,1329830723152
F,0,4,F4,eighth,0.5,3,1329830723152
G,,4,G4,quarter,1.0,4,1329830723152
A,,4,A4,eighth,0.5,4,1329830723152
B,-1,4,B[-1]4,quarter,1.0,4,1329830723152
B,,4,B4,16th,0.25,4,1329830723152
C,,5,C5,16th,0.25,4,1329830723152
D,,5,D5,quarter,1.0,5,1329830723152
D,,5,D5,eighth,0.5,5,1329830723152
D,,5,D5,eighth,0.5,5,1329830723152
E,-1,5,E[-1]5,eighth,0.5,5,1329830723152
D,,5,D5,eighth,0.5,5,1329830723152
D,,5,D5,quarter,1.5,6,1329830723152
C,,5,C5,quarter,1.0,6,1329830723152
A,,4,A4,16th,0.25,6,1329830723152
B,-1,4,B[-1]4,16th,0.25,6,1329830723152
C,,5,C5,quarter,1.0,7,1329830723152
C,,5,C5,eighth,0.5,7,1329830723152
C,,5,C5,eighth,0.5,7,1329830723152
D,,5,D5,eighth,0.5,7,1329830723152
C,,5,C5,eighth,0.5,7,1329830723152
C,,5,C5,quarter,1.5,8,1329830723152
B,-1,4,B[-1]4,quarter,1.0,8,1329830723152
B,,4,B4,16th,0.25,8,1329830723152
A,,4,A4,16th,0.25,8,1329830723152
G,,4,G4,quarter,1.0,9,1329830723152
D,,5,D5,16th,0.25,9,1329830723152
C,,5,C5,16th,0.25,9,1329830723152
B,-1,4,B[-1]4,eighth,0.75,9,1329830723152
C,,5,C5,16th,0.25,9,1329830723152
A,,4,A4,16th,0.25,9,1329830723152
B,,4,B4,16th,0.25,9,1329830723152
G,,4,G4,quarter,1.5,10,1329830723152
Rest,,,Rest,quarter,1.0,10,1329830723152
Rest,,,Rest,eighth,0.5,10,1329830723152
