step,alteration,octave,pitch,type,duration,measureCount,voice
G,,4,G4,half,2.0,0,1329830718832
G,,4,G4,half,2.0,1,1329830718832
G,,4,G4,half,2.0,1,1329830718832
G,,4,G4,half,2.0,1,1329830718832
G,,4,G4,half,2.0,1,1329830718832
A,,4,A4,whole,4.0,2,1329830718832
A,,4,A4,whole,4.0,2,1329830718832
D,,5,D5,whole,4.0,3,1329830718832
D,,5,D5,half,2.0,3,1329830718832
A,,4,A4,half,2.0,3,1329830718832
D,,5,D5,half,2.0,4,1329830718832
C,,5,C5,whole,4.0,4,1329830718832
B,-1,4,B[-1]4,half,2.0,4,1329830718832
A,,4,A4,breve,8.0,5,1329830718832
Rest,,,Rest,whole,6.0,6,1329830718832
D,,5,D5,half,2.0,6,1329830718832
D,,5,D5,half,2.0,7,1329830718832
D,,5,D5,half,2.0,7,1329830718832
D,,5,D5,half,2.0,7,1329830718832
D,,5,D5,half,2.0,7,1329830718832
C,,5,C5,half,2.0,8,1329830718832
A,,4,A4,whole,4.0,8,1329830718832
B,-1,4,B[-1]4,half,2.0,8,1329830718832
G,,4,G4,whole,4.0,9,1329830718832
A,,4,A4,half,2.0,9,1329830718832
C,,5,C5,half,2.0,9,1329830718832
D,,5,D5,quarter,1.0,10,1329830718832
B,-1,4,B[-1]4,quarter,1.0,10,1329830718832
A,,4,A4,quarter,1.0,10,1329830718832
G,,4,G4,quarter,1.0,10,1329830718832
A,,4,A4,whole,4.0,10,1329830718832
G,,4,G4,breve,8.0,11,1329830718832
D,,5,D5,whole,4.0,12,1329830718832
F,0,5,F5,half,2.0,12,1329830718832
D,,5,D5,half,2.0,12,1329830718832
D,,5,D5,quarter,1.0,13,1329830718832
B,-1,4,B[-1]4,quarter,1.0,13,1329830718832
C,,5,C5,half,2.0,13,1329830718832
A,,4,A4,whole,4.0,13,1329830718832
G,,4,G4,whole,6.0,14,1329830718832
Rest,,,Rest,half,2.0,14,1329830718832
