step,alteration,octave,pitch,type,duration,measureCount,voice
G,,4,G4,quarter,1.0,0,1329799966304
B,-1,4,B[-1]4,quarter,1.0,1,1329799966304
B,,4,B4,quarter,1.0,1,1329799966304
C,,5,C5,quarter,1.0,1,1329799966304
C,,5,C5,quarter,1.0,1,1329799966304
D,,5,D5,quarter,1.0,2,1329799966304
D,,5,D5,quarter,1.0,2,1329799966304
D,,5,D5,half,2.0,2,1329799966304
B,-1,4,B[-1]4,eighth,0.5,3,1329799966304
C,,5,C5,eighth,0.5,3,1329799966304
D,,5,D5,quarter,1.0,3,1329799966304
B,,4,B4,eighth,0.5,3,1329799966304
C,,5,C5,eighth,0.5,3,1329799966304
D,,5,D5,quarter,1.0,3,1329799966304
C,,5,C5,quarter,1.0,4,1329799966304
B,-1,4,B[-1]4,quarter,1.0,4,1329799966304
A,,4,A4,quarter,1.0,4,1329799966304
D,,5,D5,quarter,1.0,4,1329799966304
D,,5,D5,quarter,1.0,5,1329799966304
A,,4,A4,quarter,1.0,5,1329799966304
B,-1,4,B[-1]4,quarter,1.0,5,1329799966304
G,,4,G4,quarter,1.0,5,1329799966304
G,,4,G4,quarter,1.0,6,1329799966304
G,,4,G4,quarter,1.0,6,1329799966304
A,,4,A4,half,2.0,6,1329799966304
B,-1,4,B[-1]4,quarter,1.0,7,1329799966304
A,,4,A4,quarter,1.0,7,1329799966304
G,,4,G4,quarter,1.0,7,1329799966304
G,,4,G4,quarter,1.0,7,1329799966304
G,,4,G4,quarter,1.0,8,1329799966304
F,1,4,F[1]4,quarter,1.0,8,1329799966304
G,,4,G4,quarter,1.0,8,1329799966304
Rest,,,Rest,quarter,1.0,8,1329799966304
