step,alteration,octave,pitch,type,duration,measureCount,voice
C,,5,C5,half,2.0,0,1329799958720
A,,4,A4,half,2.0,1,1329799958720
F,,4,F4,half,2.0,1,1329799958720
C,,5,C5,half,2.0,1,1329799958720
D,,5,D5,half,2.0,1,1329799958720
C,,5,C5,half,2.0,2,1329799958720
B,-1,4,B[-1]4,half,2.0,2,1329799958720
A,,4,A4,half,2.0,2,1329799958720
G,,4,G4,half,2.0,2,1329799958720
C,,5,C5,half,3.0,3,1329799958720
B,-1,4,B[-1]4,quarter,1.0,3,1329799958720
A,,4,A4,half,2.0,3,1329799958720
G,,4,G4,half,2.0,3,1329799958720
C,,5,C5,half,2.0,4,1329799958720
B,-1,4,B[-1]4,half,2.0,4,1329799958720
C,,5,C5,half,2.0,4,1329799958720
A,,4,A4,half,2.0,4,1329799958720
G,,4,G4,whole,4.0,5,1329799958720
Rest,,,Rest,whole,4.0,5,1329799958720
F,,4,F4,whole,4.0,6,1329799958720
C,,5,C5,half,2.0,6,1329799958720
D,,5,D5,half,2.0,6,1329799958720
C,,5,C5,half,2.0,7,1329799958720
B,-1,4,B[-1]4,half,2.0,7,1329799958720
A,,4,A4,half,2.0,7,1329799958720
G,,4,G4,half,2.0,7,1329799958720
C,,5,C5,half,3.0,8,1329799958720
B,-1,4,B[-1]4,quarter,1.0,8,1329799958720
A,,4,A4,half,2.0,8,1329799958720
G,,4,G4,half,2.0,8,1329799958720
C,,5,C5,half,2.0,9,1329799958720
B,-1,4,B[-1]4,half,2.0,9,1329799958720
C,,5,C5,half,2.0,9,1329799958720
A,,4,A4,half,2.0,9,1329799958720
D,,5,D5,whole,4.0,10,1329799958720
C,,5,C5,whole,4.0,10,1329799958720
A,,4,A4,half,2.0,11,1329799958720
F,,4,F4,half,2.0,11,1329799958720
G,,4,G4,whole,4.0,11,1329799958720
F,,4,F4,whole,4.0,12,1329799958720
Rest,,,Rest,half,2.0,12,1329799958720
Rest,,,Rest,half,2.0,12,1329799958720
