step,alteration,octave,pitch,type,duration,measureCount,voice
E,,5,E5,half,2.0,0,1329799961216
C,0,5,C5,whole,4.0,1,1329799961216
A,,4,A4,whole,4.0,1,1329799961216
E,,5,E5,half,2.0,1,1329799961216
D,,5,D5,half,2.0,1,1329799961216
C,0,5,C5,half,3.0,2,1329799961216
B,,4,B4,quarter,1.0,2,1329799961216
C,1,5,C[1]5,half,2.0,2,1329799961216
A,,4,A4,whole,4.0,2,1329799961216
E,,5,E5,half,2.0,2,1329799961216
D,,5,D5,whole,4.0,3,1329799961216
B,,4,B4,whole,4.0,3,1329799961216
C,0,5,C5,half,2.0,3,1329799961216
D,,5,D5,half,2.0,3,1329799961216
E,,5,E5,breve,12.0,4,1329799961216
E,,5,E5,whole,4.0,5,1329799961216
D,,5,D5,whole,4.0,5,1329799961216
C,0,5,C5,half,2.0,5,1329799961216
D,,5,D5,half,2.0,5,1329799961216
B,,4,B4,breve,8.0,6,1329799961216
Rest,,,Rest,half,2.0,6,1329799961216
B,,4,B4,half,2.0,6,1329799961216
D,,5,D5,whole,4.0,7,1329799961216
B,,4,B4,whole,4.0,7,1329799961216
E,,5,E5,half,2.0,7,1329799961216
D,,5,D5,half,2.0,7,1329799961216
E,,5,E5,half,3.0,8,1329799961216
D,,5,D5,quarter,1.0,8,1329799961216
E,,5,E5,half,2.0,8,1329799961216
C,0,5,C5,whole,4.0,8,1329799961216
D,,5,D5,half,2.0,8,1329799961216
E,,5,E5,whole,4.0,9,1329799961216
C,0,5,C5,whole,4.0,9,1329799961216
D,,5,D5,half,2.0,9,1329799961216
B,,4,B4,half,2.0,9,1329799961216
A,,4,A4,breve,12.0,10,1329799961216
E,,5,E5,whole,4.0,11,1329799961216
C,0,5,C5,whole,4.0,11,1329799961216
D,,5,D5,half,2.0,11,1329799961216
B,,4,B4,half,2.0,11,1329799961216
A,,4,A4,breve,8.0,12,1329799961216
Rest,,,Rest,half,2.0,12,1329799961216
Rest,,,Rest,half,2.0,12,1329799961216
