step,alteration,octave,pitch,type,duration,measureCount,voice
A,,4,A4,whole,4.0,0,1329830711248
A,,4,A4,breve,8.0,1,1329830711248
A,,4,A4,whole,4.0,1,1329830711248
A,,4,A4,breve,8.0,2,1329830711248
B,,4,B4,whole,4.0,2,1329830711248
C,0,5,C5,breve,8.0,3,1329830711248
B,,4,B4,half,3.0,3,1329830711248
A,,4,A4,quarter,1.0,3,1329830711248
G,0,4,G4,breve,8.0,4,1329830711248
A,,4,A4,whole,4.0,4,1329830711248
C,0,5,C5,breve,8.0,5,1329830711248
B,,4,B4,half,3.0,5,1329830711248
A,,4,A4,quarter,1.0,5,1329830711248
A,,4,A4,breve,8.0,6,1329830711248
G,1,4,G[1]4,whole,4.0,6,1329830711248
A,,4,A4,breve,8.0,7,1329830711248
A,,4,A4,whole,4.0,7,1329830711248
A,,4,A4,breve,8.0,8,1329830711248
A,,4,A4,whole,4.0,8,1329830711248
A,,4,A4,breve,8.0,9,1329830711248
B,,4,B4,whole,4.0,9,1329830711248
C,0,5,C5,breve,8.0,10,1329830711248
B,,4,B4,half,3.0,10,1329830711248
A,,4,A4,quarter,1.0,10,1329830711248
G,0,4,G4,breve,8.0,11,1329830711248
A,,4,A4,whole,4.0,11,1329830711248
C,0,5,C5,breve,8.0,12,1329830711248
B,,4,B4,half,3.0,12,1329830711248
A,,4,A4,quarter,1.0,12,1329830711248
A,,4,A4,breve,8.0,13,1329830711248
G,1,4,G[1]4,whole,4.0,13,1329830711248
A,,4,A4,breve,8.0,14,1329830711248
C,0,5,C5,whole,4.0,14,1329830711248
B,,4,B4,breve,8.0,15,1329830711248
A,,4,A4,whole,4.0,15,1329830711248
G,0,4,G4,breve,8.0,16,1329830711248
F,0,4,F4,whole,4.0,16,1329830711248
E,,4,E4,breve,8.0,17,1329830711248
E,,4,E4,whole,4.0,17,1329830711248
E,,4,E4,breve,8.0,18,1329830711248
C,0,5,C5,whole,4.0,18,1329830711248
B,,4,B4,breve,8.0,19,1329830711248
A,,4,A4,whole,4.0,19,1329830711248
G,0,4,G4,breve,8.0,20,1329830711248
F,0,4,F4,whole,4.0,20,1329830711248
E,,4,E4,breve,8.0,21,1329830711248
E,,4,E4,whole,4.0,21,1329830711248
E,,4,E4,breve,8.0,22,1329830711248
E,,4,E4,whole,4.0,22,1329830711248
A,,4,A4,breve,8.0,23,1329830711248
A,,4,A4,whole,4.0,23,1329830711248
A,,4,A4,breve,8.0,24,1329830711248
B,,4,B4,whole,4.0,24,1329830711248
C,0,5,C5,breve,8.0,25,1329830711248
B,,4,B4,half,3.0,25,1329830711248
A,,4,A4,quarter,1.0,25,1329830711248
G,0,4,G4,breve,8.0,26,1329830711248
A,,4,A4,whole,4.0,26,1329830711248
C,0,5,C5,breve,8.0,27,1329830711248
B,,4,B4,half,3.0,27,1329830711248
A,,4,A4,quarter,1.0,27,1329830711248
A,,4,A4,breve,8.0,28,1329830711248
G,1,4,G[1]4,whole,4.0,28,1329830711248
A,,4,A4,breve,8.0,29,1329830711248
Rest,,,Rest,whole,4.0,29,1329830711248
