step,alteration,octave,pitch,type,duration,measureCount,voice
G,,4,G4,quarter,1.0,0,2400777814800
G,,4,G4,quarter,1.0,0,2400777814800
G,,4,G4,quarter,1.0,0,2400777814800
A,,4,A4,half,2.0,1,2400777814800
A,,4,A4,quarter,1.0,1,2400777814800
B,-1,4,B[-1]4,quarter,1.0,1,2400777814800
G,,4,G4,half,2.0,2,2400777814800
F,0,4,F4,half,2.0,2,2400777814800
rest,,,rest,quarter,1.0,3,2400777814800
F,0,4,F4,quarter,1.0,3,2400777814800
B,-1,4,B[-1]4,quarter,1.5,3,2400777814800
C,,5,C5,eighth,0.5,3,2400777814800
D,,5,D5,quarter,1.5,4,2400777814800
C,,5,C5,eighth,0.5,4,2400777814800
D,,5,D5,quarter,1.0,4,2400777814800
C,,5,C5,eighth,0.5,4,2400777814800
B,-1,4,B[-1]4,eighth,0.5,4,2400777814800
A,,4,A4,quarter,1.0,5,2400777814800
D,,5,D5,quarter,1.0,5,2400777814800
D,,5,D5,quarter,1.0,5,2400777814800
D,,5,D5,quarter,1.0,5,2400777814800
C,,5,C5,quarter,1.0,6,2400777814800
D,,5,D5,half,2.0,6,2400777814800
C,,5,C5,eighth,0.5,6,2400777814800
A,,4,A4,eighth,0.5,6,2400777814800
F,0,4,F4,half,3.0,7,2400777814800
G,,4,G4,quarter,1.0,7,2400777814800
A,,4,A4,quarter,1.0,8,2400777814800
B,-1,4,B[-1]4,quarter,1.0,8,2400777814800
C,,5,C5,half,2.0,8,2400777814800
C,,5,C5,quarter,1.0,9,2400777814800
B,-1,4,B[-1]4,quarter,1.0,9,2400777814800
A,,4,A4,quarter,1.5,9,2400777814800
G,,4,G4,eighth,0.5,9,2400777814800
G,,4,G4,whole,4.0,10,2400777814800
rest,,,rest,quarter,1.0,11,2400777814800
rest,,,rest,half,3.0,11,2400777814800
