step,alteration,octave,pitch,type,duration,measureCount,voice
G,,4,G4,half,2.0,0,2400746866384
G,,4,G4,half,2.0,1,2400746866384
G,,4,G4,half,2.0,1,2400746866384
G,,4,G4,half,2.0,1,2400746866384
D,,4,D4,half,2.0,1,2400746866384
G,,4,G4,half,3.0,2,2400746866384
A,,4,A4,quarter,1.0,2,2400746866384
B,-1,4,B[-1]4,half,2.0,2,2400746866384
C,,5,C5,half,2.0,2,2400746866384
D,,5,D5,quarter,1.0,3,2400746866384
B,-1,4,B[-1]4,quarter,1.0,3,2400746866384
A,,4,A4,quarter,1.0,3,2400746866384
G,,4,G4,quarter,1.0,3,2400746866384
A,,4,A4,half,2.0,3,2400746866384
A,,4,A4,half,2.0,3,2400746866384
G,,4,G4,whole,4.0,4,2400746866384
rest,,,rest,half,2.0,4,2400746866384
G,,4,G4,half,2.0,4,2400746866384
A,,4,A4,half,2.0,5,2400746866384
A,,4,A4,half,2.0,5,2400746866384
D,,5,D5,half,2.0,5,2400746866384
A,,4,A4,half,2.0,5,2400746866384
B,-1,4,B[-1]4,whole,4.0,6,2400746866384
A,,4,A4,quarter,1.0,6,2400746866384
G,,4,G4,quarter,1.0,6,2400746866384
C,,5,C5,half,2.0,6,2400746866384
A,,4,A4,whole,4.0,7,2400746866384
rest,,,rest,half,2.0,7,2400746866384
G,,4,G4,half,2.0,7,2400746866384
G,,4,G4,half,2.0,8,2400746866384
G,,4,G4,half,2.0,8,2400746866384
G,,4,G4,half,2.0,8,2400746866384
D,,4,D4,half,2.0,8,2400746866384
G,,4,G4,half,3.0,9,2400746866384
A,,4,A4,quarter,1.0,9,2400746866384
B,-1,4,B[-1]4,half,2.0,9,2400746866384
C,,5,C5,half,2.0,9,2400746866384
D,,5,D5,quarter,1.0,10,2400746866384
B,-1,4,B[-1]4,quarter,1.0,10,2400746866384
A,,4,A4,quarter,1.0,10,2400746866384
G,,4,G4,quarter,1.0,10,2400746866384
A,,4,A4,half,2.0,10,2400746866384
A,,4,A4,half,2.0,10,2400746866384
G,,4,G4,whole,4.0,11,2400746866384
rest,,,rest,half,2.0,11,2400746866384
G,,4,G4,half,2.0,11,2400746866384
A,,4,A4,half,2.0,12,2400746866384
A,,4,A4,half,2.0,12,2400746866384
D,,5,D5,half,2.0,12,2400746866384
A,,4,A4,half,2.0,12,2400746866384
B,-1,4,B[-1]4,whole,4.0,13,2400746866384
A,,4,A4,quarter,1.0,13,2400746866384
G,,4,G4,quarter,1.0,13,2400746866384
C,,5,C5,half,2.0,13,2400746866384
A,,4,A4,whole,4.0,14,2400746866384
rest,,,rest,half,2.0,14,2400746866384
A,,4,A4,half,2.0,14,2400746866384
B,-1,4,B[-1]4,half,2.0,15,2400746866384
A,,4,A4,half,2.0,15,2400746866384
D,,5,D5,half,3.0,15,2400746866384
C,,5,C5,quarter,1.0,15,2400746866384
B,-1,4,B[-1]4,half,2.0,16,2400746866384
A,,4,A4,half,2.0,16,2400746866384
G,,4,G4,half,2.0,16,2400746866384
A,,4,A4,half,2.0,16,2400746866384
F,0,4,F4,half,2.0,17,2400746866384
G,,4,G4,half,2.0,17,2400746866384
A,,4,A4,half,3.0,17,2400746866384
G,,4,G4,quarter,1.0,17,2400746866384
F,0,4,F4,half,2.0,18,2400746866384
E,,4,E4,quarter,1.0,18,2400746866384
D,,4,D4,quarter,1.0,18,2400746866384
E,,4,E4,whole,4.0,18,2400746866384
D,,4,D4,whole,4.0,19,2400746866384
rest,,,rest,half,2.0,19,2400746866384
D,,4,D4,half,2.0,19,2400746866384
G,,4,G4,half,2.0,20,2400746866384
F,1,4,F[1]4,half,2.0,20,2400746866384
G,,4,G4,whole,4.0,20,2400746866384
rest,,,rest,half,2.0,21,2400746866384
A,,4,A4,half,2.0,21,2400746866384
B,-1,4,B[-1]4,half,2.0,21,2400746866384
A,,4,A4,half,2.0,21,2400746866384
G,,4,G4,whole,4.0,22,2400746866384
rest,,,rest,half,2.0,22,2400746866384
D,,5,D5,half,2.0,22,2400746866384
D,,5,D5,half,2.0,23,2400746866384
D,,5,D5,half,2.0,23,2400746866384
A,,4,A4,half,2.0,23,2400746866384
D,,5,D5,half,2.0,23,2400746866384
C,,5,C5,half,2.0,24,2400746866384
B,-1,4,B[-1]4,half,2.0,24,2400746866384
C,,5,C5,half,2.0,24,2400746866384
A,,4,A4,half,2.0,24,2400746866384
G,,4,G4,whole,4.0,25,2400746866384
rest,,,rest,half,2.0,25,2400746866384
D,,5,D5,half,2.0,25,2400746866384
B,-1,4,B[-1]4,half,2.0,26,2400746866384
A,,4,A4,half,2.0,26,2400746866384
G,,4,G4,half,2.0,26,2400746866384
D,,4,D4,half,2.0,26,2400746866384
G,,4,G4,half,3.0,27,2400746866384
A,,4,A4,quarter,1.0,27,2400746866384
B,-1,4,B[-1]4,half,2.0,27,2400746866384
C,,5,C5,half,2.0,27,2400746866384
D,,5,D5,quarter,1.0,28,2400746866384
B,-1,4,B[-1]4,quarter,1.0,28,2400746866384
A,,4,A4,quarter,1.0,28,2400746866384
G,,4,G4,quarter,1.0,28,2400746866384
A,,4,A4,whole,4.0,28,2400746866384
G,,4,G4,whole,6.0,29,2400746866384
rest,,,rest,half,2.0,29,2400746866384
