step,alteration,octave,pitch,type,duration,measureCount,voice
F,,4,F4,quarter,1.0,0,1329799963664
F,,4,F4,half,2.0,1,1329799963664
F,,4,F4,quarter,1.0,1,1329799963664
C,,5,C5,quarter,1.0,1,1329799963664
C,,5,C5,quarter,1.0,1,1329799963664
A,,4,A4,quarter,1.0,1,1329799963664
B,-1,4,B[-1]4,quarter,1.0,2,1329799963664
G,,4,G4,quarter,1.0,2,1329799963664
A,,4,A4,half,2.0,2,1329799963664
F,,4,F4,quarter,1.0,2,1329799963664
F,,4,F4,quarter,1.0,2,1329799963664
F,,4,F4,quarter,1.0,3,1329799963664
C,,5,C5,quarter,1.0,3,1329799963664
C,,5,C5,quarter,1.0,3,1329799963664
A,,4,A4,quarter,1.0,3,1329799963664
B,-1,4,B[-1]4,quarter,1.0,4,1329799963664
G,,4,G4,quarter,1.0,4,1329799963664
A,,4,A4,quarter,1.0,4,1329799963664
A,,4,A4,quarter,1.0,4,1329799963664
Rest,,,Rest,half,2.0,4,1329799963664
F,,4,F4,quarter,1.0,5,1329799963664
F,,4,F4,quarter,1.0,5,1329799963664
A,,4,A4,quarter,1.0,5,1329799963664
A,,4,A4,quarter,1.0,5,1329799963664
Rest,,,Rest,half,2.0,5,1329799963664
F,,4,F4,half,2.0,6,1329799963664
G,,4,G4,quarter,1.0,6,1329799963664
Rest,,,Rest,half,3.0,6,1329799963664
