step,alteration,octave,pitch,type,duration,measureCount,voice
G,,4,G4,breve,8.0,0,1329799966016
B,,4,B4,whole,4.0,1,1329799966016
A,,4,A4,whole,4.0,1,1329799966016
B,,4,B4,whole,4.0,2,1329799966016
C,,5,C5,whole,4.0,2,1329799966016
D,,5,D5,whole,4.0,3,1329799966016
Rest,,,Rest,half,2.0,3,1329799966016
E,,5,E5,half,2.0,3,1329799966016
D,,5,D5,whole,4.0,4,1329799966016
B,,4,B4,whole,4.0,4,1329799966016
G,,4,G4,breve,8.0,5,1329799966016
G,,4,G4,breve,8.0,6,1329799966016
B,,4,B4,whole,4.0,7,1329799966016
A,,4,A4,whole,4.0,7,1329799966016
B,,4,B4,whole,4.0,8,1329799966016
C,,5,C5,whole,4.0,8,1329799966016
D,,5,D5,whole,4.0,9,1329799966016
Rest,,,Rest,half,2.0,9,1329799966016
E,,5,E5,half,2.0,9,1329799966016
D,,5,D5,whole,4.0,10,1329799966016
B,,4,B4,whole,4.0,10,1329799966016
G,,4,G4,whole,4.0,11,1329799966016
D,,5,D5,whole,4.0,11,1329799966016
B,,4,B4,whole,4.0,12,1329799966016
A,,4,A4,whole,4.0,12,1329799966016
G,,4,G4,whole,4.0,13,1329799966016
D,,4,D4,whole,4.0,13,1329799966016
A,,4,A4,half,2.0,14,1329799966016
B,,4,B4,half,2.0,14,1329799966016
C,,5,C5,half,2.0,14,1329799966016
B,,4,B4,half,2.0,14,1329799966016
G,,4,G4,breve,8.0,15,1329799966016
