step,alteration,octave,pitch,type,duration,measureCount,voice
F,,4,F4,half,2.0,0,1329830719984
F,,4,F4,whole,4.0,1,1329830719984
A,,4,A4,whole,4.0,1,1329830719984
C,,5,C5,whole,4.0,2,1329830719984
F,,5,F5,whole,4.0,2,1329830719984
E,,5,E5,whole,4.0,3,1329830719984
D,,5,D5,whole,4.0,3,1329830719984
C,,5,C5,whole,4.0,4,1329830719984
Rest,,,Rest,half,2.0,4,1329830719984
C,,5,C5,half,2.0,4,1329830719984
D,,5,D5,quarter,1.0,5,1329830719984
C,,5,C5,quarter,1.0,5,1329830719984
D,,5,D5,quarter,1.0,5,1329830719984
E,,5,E5,quarter,1.0,5,1329830719984
F,,5,F5,half,2.0,5,1329830719984
F,,5,F5,half,2.0,5,1329830719984
E,,5,E5,whole,4.0,6,1329830719984
D,,5,D5,whole,4.0,6,1329830719984
C,,5,C5,whole,6.0,7,1329830719984
B,-1,4,B[-1]4,half,2.0,7,1329830719984
A,,4,A4,breve,8.0,8,1329830719984
Rest,,,Rest,whole,4.0,9,1329830719984
F,,4,F4,whole,4.0,9,1329830719984
A,,4,A4,whole,6.0,10,1329830719984
G,,4,G4,half,2.0,10,1329830719984
A,,4,A4,half,2.0,11,1329830719984
B,-1,4,B[-1]4,half,2.0,11,1329830719984
C,,5,C5,half,2.0,11,1329830719984
C,,5,C5,half,2.0,11,1329830719984
F,,4,F4,whole,4.0,12,1329830719984
Rest,,,Rest,whole,4.0,12,1329830719984
A,,4,A4,whole,4.0,13,1329830719984
A,,4,A4,whole,4.0,13,1329830719984
B,-1,4,B[-1]4,half,2.0,14,1329830719984
G,,4,G4,half,2.0,14,1329830719984
A,,4,A4,half,2.0,14,1329830719984
F,,4,F4,half,2.0,14,1329830719984
E,,4,E4,half,2.0,15,1329830719984
F,,4,F4,half,2.0,15,1329830719984
G,,4,G4,half,2.0,15,1329830719984
B,-1,4,B[-1]4,half,2.0,15,1329830719984
A,,4,A4,whole,4.0,16,1329830719984
G,,4,G4,whole,4.0,16,1329830719984
F,,4,F4,whole,6.0,17,1329830719984
Rest,,,Rest,half,2.0,17,1329830719984
