step,alteration,octave,pitch,type,duration,measureCount,voice
C,,5,C5,breve,12.0,0,1329830246864
C,,5,C5,whole,6.0,1,1329830246864
C,,5,C5,half,2.0,1,1329830246864
E,,5,E5,whole,4.0,1,1329830246864
D,,5,D5,breve,12.0,2,1329830246864
G,,4,G4,half,2.0,3,1329830246864
F,1,4,F[1]4,half,2.0,3,1329830246864
G,,4,G4,half,2.0,3,1329830246864
D,,5,D5,half,2.0,3,1329830246864
B,,4,B4,quarter,1.0,3,1329830246864
G,,4,G4,quarter,1.0,3,1329830246864
A,,4,A4,half,2.0,3,1329830246864
G,,4,G4,breve,12.0,4,1329830246864
A,,4,A4,whole,4.0,5,1329830246864
B,,4,B4,half,2.0,5,1329830246864
C,,5,C5,whole,6.0,5,1329830246864
C,,5,C5,whole,6.0,6,1329830246864
B,,4,B4,whole,6.0,6,1329830246864
C,,5,C5,whole,4.0,7,1329830246864
B,,4,B4,half,2.0,7,1329830246864
A,,4,A4,half,2.0,7,1329830246864
G,,4,G4,whole,4.0,7,1329830246864
C,,4,C4,whole,4.0,8,1329830246864
G,,4,G4,half,2.0,8,1329830246864
A,,4,A4,half,2.0,8,1329830246864
A,,4,A4,quarter,1.0,8,1329830246864
G,,4,G4,quarter,1.0,8,1329830246864
A,,4,A4,quarter,1.0,8,1329830246864
F,0,4,F4,quarter,1.0,8,1329830246864
E,,4,E4,breve,12.0,9,1329830246864
C,,5,C5,breve,12.0,10,1329830246864
C,,5,C5,whole,6.0,11,1329830246864
C,,5,C5,half,2.0,11,1329830246864
E,,5,E5,whole,4.0,11,1329830246864
D,,5,D5,breve,12.0,12,1329830246864
G,,4,G4,half,2.0,13,1329830246864
F,1,4,F[1]4,half,2.0,13,1329830246864
G,,4,G4,half,2.0,13,1329830246864
D,,5,D5,half,2.0,13,1329830246864
B,,4,B4,quarter,1.0,13,1329830246864
G,,4,G4,quarter,1.0,13,1329830246864
A,,4,A4,half,2.0,13,1329830246864
G,,4,G4,breve,12.0,14,1329830246864
A,,4,A4,whole,4.0,15,1329830246864
B,,4,B4,half,2.0,15,1329830246864
C,,5,C5,whole,6.0,15,1329830246864
C,,5,C5,whole,6.0,16,1329830246864
B,,4,B4,whole,6.0,16,1329830246864
C,,5,C5,whole,4.0,17,1329830246864
B,,4,B4,half,2.0,17,1329830246864
A,,4,A4,half,2.0,17,1329830246864
G,,4,G4,whole,4.0,17,1329830246864
C,,4,C4,whole,4.0,18,1329830246864
G,,4,G4,half,2.0,18,1329830246864
A,,4,A4,half,2.0,18,1329830246864
A,,4,A4,quarter,1.0,18,1329830246864
G,,4,G4,quarter,1.0,18,1329830246864
