step,alteration,octave,pitch,type,duration,measureCount,voice
C,,4,C4,whole,4.0,0,2400777829344
A,,3,A3,half,2.0,0,2400777829344
B,,3,B3,half,2.0,0,2400777829344
C,,4,C4,whole,4.0,1,2400777829344
rest,,,rest,half,2.0,1,2400777829344
C,,4,C4,half,2.0,1,2400777829344
D,,4,D4,half,2.0,2,2400777829344
D,,4,D4,half,2.0,2,2400777829344
C,,4,C4,whole,4.0,2,2400777829344
rest,,,rest,half,2.0,3,2400777829344
C,,4,C4,half,2.0,3,2400777829344
E,,4,E4,half,2.0,3,2400777829344
F,,4,F4,half,2.0,3,2400777829344
G,,4,G4,whole,6.0,4,2400777829344
F,,4,F4,half,2.0,4,2400777829344
E,,4,E4,half,2.0,5,2400777829344
G,,4,G4,whole,4.0,5,2400777829344
F,,4,F4,quarter,1.0,5,2400777829344
E,,4,E4,quarter,1.0,5,2400777829344
F,,4,F4,half,2.0,6,2400777829344
E,,4,E4,half,2.0,6,2400777829344
D,,4,D4,whole,4.0,6,2400777829344
C,,4,C4,breve,8.0,7,2400777829344
C,,4,C4,whole,4.0,8,2400777829344
A,,3,A3,half,2.0,8,2400777829344
B,,3,B3,half,2.0,8,2400777829344
C,,4,C4,whole,4.0,9,2400777829344
rest,,,rest,half,2.0,9,2400777829344
C,,4,C4,half,2.0,9,2400777829344
D,,4,D4,half,2.0,10,2400777829344
D,,4,D4,half,2.0,10,2400777829344
C,,4,C4,whole,4.0,10,2400777829344
rest,,,rest,half,2.0,11,2400777829344
C,,4,C4,half,2.0,11,2400777829344
E,,4,E4,half,2.0,11,2400777829344
F,,4,F4,half,2.0,11,2400777829344
G,,4,G4,whole,6.0,12,2400777829344
F,,4,F4,half,2.0,12,2400777829344
E,,4,E4,half,2.0,13,2400777829344
G,,4,G4,whole,4.0,13,2400777829344
F,,4,F4,quarter,1.0,13,2400777829344
E,,4,E4,quarter,1.0,13,2400777829344
F,,4,F4,half,2.0,14,2400777829344
E,,4,E4,half,2.0,14,2400777829344
D,,4,D4,whole,4.0,14,2400777829344
C,,4,C4,whole,6.0,15,2400777829344
G,,4,G4,half,2.0,15,2400777829344
E,,4,E4,half,2.0,16,2400777829344
D,,4,D4,half,2.0,16,2400777829344
C,,4,C4,whole,4.0,16,2400777829344
rest,,,rest,half,2.0,17,2400777829344
C,,4,C4,half,2.0,17,2400777829344
D,,4,D4,half,2.0,17,2400777829344
D,,4,D4,half,2.0,17,2400777829344
A,,3,A3,whole,4.0,18,2400777829344
rest,,,rest,half,2.0,18,2400777829344
A,,3,A3,half,2.0,18,2400777829344
G,,3,G3,half,2.0,19,2400777829344
G,,3,G3,half,2.0,19,2400777829344
D,,4,D4,whole,4.0,19,2400777829344
C,,4,C4,half,2.0,20,2400777829344
C,,4,C4,whole,4.0,20,2400777829344
B,,3,B3,quarter,1.0,20,2400777829344
A,,3,A3,quarter,1.0,20,2400777829344
B,-1,3,B[-1]3,quarter,1.0,21,2400777829344
A,,3,A3,quarter,1.0,21,2400777829344
G,,3,G3,quarter,1.0,21,2400777829344
F,,3,F3,quarter,1.0,21,2400777829344
G,,3,G3,whole,4.0,21,2400777829344
F,,3,F3,whole,4.0,22,2400777829344
rest,,,rest,half,2.0,22,2400777829344
C,,4,C4,half,2.0,22,2400777829344
A,,3,A3,half,2.0,23,2400777829344
A,,3,A3,half,2.0,23,2400777829344
D,,4,D4,whole,4.0,23,2400777829344
C,,4,C4,half,2.0,24,2400777829344
C,,4,C4,whole,4.0,24,2400777829344
B,,3,B3,quarter,1.0,24,2400777829344
A,,3,A3,quarter,1.0,24,2400777829344
B,,3,B3,half,2.0,25,2400777829344
B,,3,B3,half,2.0,25,2400777829344
A,,3,A3,whole,4.0,25,2400777829344
rest,,,rest,half,2.0,26,2400777829344
G,,3,G3,half,2.0,26,2400777829344
A,,3,A3,half,2.0,26,2400777829344
B,,3,B3,half,2.0,26,2400777829344
C,,4,C4,whole,4.0,27,2400777829344
B,,3,B3,half,2.0,27,2400777829344
A,,3,A3,half,2.0,27,2400777829344
A,,3,A3,half,2.0,28,2400777829344
G,,3,G3,quarter,1.0,28,2400777829344
F,,3,F3,quarter,1.0,28,2400777829344
G,,3,G3,half,2.0,28,2400777829344
G,,3,G3,half,2.0,28,2400777829344
F,,3,F3,whole,4.0,29,2400777829344
rest,,,rest,half,2.0,29,2400777829344
F,,4,F4,half,2.0,29,2400777829344
D,,4,D4,half,2.0,30,2400777829344
D,,4,D4,half,2.0,30,2400777829344
G,,4,G4,whole,4.0,31,2400777829344
F,,4,F4,half,2.0,31,2400777829344
E,,4,E4,half,2.0,31,2400777829344
F,,4,F4,quarter,1.0,32,2400777829344
F,,4,F4,quarter,1.0,32,2400777829344
G,,4,G4,half,3.0,32,2400777829344
F,,4,F4,quarter,1.0,32,2400777829344
E,,4,E4,half,2.0,32,2400777829344
E,,4,E4,half,2.0,33,2400777829344
E,,4,E4,quarter,1.0,33,2400777829344
D,,4,D4,quarter,1.0,33,2400777829344
C,,4,C4,quarter,1.0,33,2400777829344
D,,4,D4,quarter,1.0,33,2400777829344
C,,4,C4,half,2.0,33,2400777829344
C,,4,C4,whole,4.0,34,2400777829344
