step,alteration,octave,pitch,type,duration,measureCount,voice
F,,4,F4,half,2.0,0,1329799965152
F,,4,F4,whole,4.0,1,1329799965152
F,,4,F4,half,2.0,1,1329799965152
E,,4,E4,half,3.0,2,1329799965152
F,,4,F4,quarter,1.0,2,1329799965152
G,,4,G4,half,2.0,2,1329799965152
F,,4,F4,half,2.0,3,1329799965152
D,,4,D4,whole,4.0,3,1329799965152
C,,4,C4,whole,4.0,4,1329799965152
F,,4,F4,half,2.0,4,1329799965152
F,,4,F4,half,2.0,5,1329799965152
D,,4,D4,whole,4.0,5,1329799965152
C,,4,C4,whole,4.0,6,1329799965152
C,,4,C4,half,2.0,6,1329799965152
G,,4,G4,whole,4.0,7,1329799965152
G,,4,G4,half,2.0,7,1329799965152
A,,4,A4,whole,4.0,8,1329799965152
G,,4,G4,half,2.0,8,1329799965152
F,,4,F4,half,2.0,9,1329799965152
E,,4,E4,half,2.0,9,1329799965152
D,,4,D4,half,2.0,9,1329799965152
E,,4,E4,whole,4.0,10,1329799965152
Rest,,,Rest,half,2.0,10,1329799965152
C,,4,C4,half,2.0,11,1329799965152
D,,4,D4,half,2.0,11,1329799965152
E,,4,E4,half,2.0,11,1329799965152
F,,4,F4,whole,4.0,12,1329799965152
Rest,,,Rest,half,2.0,12,1329799965152
C,,4,C4,half,2.0,13,1329799965152
D,,4,D4,half,2.0,13,1329799965152
E,,4,E4,half,2.0,13,1329799965152
F,,4,F4,whole,4.0,14,1329799965152
Rest,,,Rest,half,2.0,14,1329799965152
