step,alteration,octave,pitch,type,duration,measureCount,voice
F,,4,F4,half,2.0,0,1329831418016
F,,4,F4,whole,4.0,1,1329831418016
F,,4,F4,half,2.0,1,1329831418016
F,,4,F4,whole,4.0,1,1329831418016
G,,4,G4,half,2.0,1,1329831418016
A,,4,A4,whole,6.0,2,1329831418016
C,,5,C5,whole,6.0,2,1329831418016
F,,4,F4,whole,4.0,3,1329831418016
F,,4,F4,half,2.0,3,1329831418016
F,,4,F4,whole,4.0,3,1329831418016
E,,4,E4,half,2.0,3,1329831418016
D,,4,D4,whole,6.0,4,1329831418016
C,,4,C4,whole,4.0,4,1329831418016
C,,5,C5,half,2.0,4,1329831418016
C,,5,C5,whole,6.0,5,1329831418016
A,,4,A4,whole,4.0,5,1329831418016
A,,4,A4,half,2.0,5,1329831418016
C,,5,C5,whole,4.0,6,1329831418016
C,,5,C5,half,2.0,6,1329831418016
B,-1,4,B[-1]4,whole,4.0,6,1329831418016
A,,4,A4,half,2.0,6,1329831418016
G,,4,G4,whole,6.0,7,1329831418016
A,,4,A4,whole,4.0,7,1329831418016
A,,4,A4,half,2.0,7,1329831418016
F,,4,F4,whole,4.0,8,1329831418016
F,,4,F4,half,2.0,8,1329831418016
B,-1,4,B[-1]4,whole,4.0,8,1329831418016
B,-1,4,B[-1]4,half,2.0,8,1329831418016
G,,4,G4,half,2.0,9,1329831418016
A,,4,A4,half,2.0,9,1329831418016
B,-1,4,B[-1]4,half,2.0,9,1329831418016
C,,5,C5,whole,4.0,9,1329831418016
C,,5,C5,half,2.0,9,1329831418016
C,,5,C5,whole,4.0,10,1329831418016
B,-1,4,B[-1]4,half,2.0,10,1329831418016
A,,4,A4,half,2.0,10,1329831418016
G,,4,G4,whole,4.0,10,1329831418016
F,,4,F4,whole,6.0,11,1329831418016
F,,4,F4,whole,4.0,11,1329831418016
Rest,,,Rest,half,2.0,11,1329831418016
