step,alteration,octave,pitch,type,duration,measureCount,voice
G,,4,G4,whole,4.0,0,1329831415088
G,,4,G4,half,2.0,0,1329831415088
G,,4,G4,half,2.0,0,1329831415088
G,,4,G4,half,2.0,1,1329831415088
G,,4,G4,half,2.0,1,1329831415088
A,,4,A4,whole,4.0,1,1329831415088
F,0,4,F4,whole,4.0,2,1329831415088
Rest,,,Rest,whole,4.0,2,1329831415088
C,,5,C5,whole,4.0,3,1329831415088
D,,5,D5,whole,4.0,4,1329831415088
C,,5,C5,whole,4.0,4,1329831415088
C,,5,C5,whole,4.0,5,1329831415088
B,-1,4,B[-1]4,whole,4.0,6,1329831415088
A,,4,A4,whole,4.0,6,1329831415088
A,,4,A4,whole,4.0,7,1329831415088
G,,4,G4,breve,8.0,8,1329831415088
G,,4,G4,whole,4.0,9,1329831415088
Rest,,,Rest,half,2.0,10,1329831415088
G,,4,G4,half,2.0,10,1329831415088
G,,4,G4,half,2.0,10,1329831415088
G,,4,G4,half,2.0,10,1329831415088
G,,4,G4,half,2.0,11,1329831415088
G,,4,G4,half,2.0,11,1329831415088
A,,4,A4,whole,4.0,11,1329831415088
F,0,4,F4,whole,4.0,12,1329831415088
Rest,,,Rest,whole,4.0,12,1329831415088
F,1,4,F[1]4,whole,4.0,13,1329831415088
G,,4,G4,whole,4.0,14,1329831415088
E,,4,E4,whole,4.0,14,1329831415088
E,,4,E4,whole,4.0,15,1329831415088
D,,4,D4,breve,8.0,16,1329831415088
C,,4,C4,whole,4.0,17,1329831415088
D,,4,D4,half,2.0,18,1329831415088
G,,4,G4,half,2.0,18,1329831415088
G,,4,G4,quarter,1.0,18,1329831415088
G,,4,G4,quarter,1.0,18,1329831415088
G,,4,G4,quarter,1.0,18,1329831415088
G,,4,G4,quarter,1.0,18,1329831415088
A,,4,A4,half,2.0,19,1329831415088
A,,4,A4,half,2.0,19,1329831415088
F,0,4,F4,whole,4.0,19,1329831415088
D,,4,D4,whole,4.0,20,1329831415088
Rest,,,Rest,whole,4.0,20,1329831415088
A,,4,A4,whole,4.0,21,1329831415088
B,-1,4,B[-1]4,whole,4.0,22,1329831415088
A,,4,A4,whole,4.0,22,1329831415088
A,,4,A4,whole,4.0,23,1329831415088
G,,4,G4,breve,8.0,24,1329831415088
F,1,4,F[1]4,whole,4.0,25,1329831415088
G,,4,G4,whole,4.0,26,1329831415088
Rest,,,Rest,whole,4.0,26,1329831415088
B,-1,4,B[-1]4,whole,4.0,27,1329831415088
C,,5,C5,whole,4.0,28,1329831415088
C,,5,C5,half,2.0,28,1329831415088
Rest,,,Rest,half,2.0,28,1329831415088
D,,5,D5,half,2.0,29,1329831415088
D,,5,D5,half,2.0,29,1329831415088
D,,5,D5,half,2.0,29,1329831415088
Rest,,,Rest,half,2.0,29,1329831415088
C,,5,C5,half,2.0,30,1329831415088
C,,5,C5,half,2.0,30,1329831415088
C,,5,C5,half,2.0,30,1329831415088
Rest,,,Rest,half,2.0,30,1329831415088
C,,5,C5,breve,8.0,31,1329831415088
C,,5,C5,whole,4.0,32,1329831415088
D,,5,D5,breve,8.0,33,1329831415088
D,,5,D5,whole,4.0,34,1329831415088
B,-1,4,B[-1]4,breve,8.0,35,1329831415088
C,,5,C5,whole,4.0,36,1329831415088
B,-1,4,B[-1]4,whole,4.0,37,1329831415088
G,,4,G4,whole,4.0,37,1329831415088
G,,4,G4,whole,4.0,38,1329831415088
F,0,4,F4,whole,4.0,39,1329831415088
E,,4,E4,whole,4.0,39,1329831415088
E,,4,E4,whole,4.0,40,1329831415088
D,,4,D4,whole,4.0,41,1329831415088
Rest,,,Rest,half,2.0,41,1329831415088
F,1,4,F[1]4,half,2.0,41,1329831415088
G,,4,G4,whole,4.0,42,1329831415088
F,1,4,F[1]4,half,2.0,42,1329831415088
F,1,4,F[1]4,half,2.0,42,1329831415088
G,,4,G4,whole,4.0,43,1329831415088
A,,4,A4,whole,4.0,43,1329831415088
A,,4,A4,whole,4.0,44,1329831415088
B,-1,4,B[-1]4,breve,8.0,45,1329831415088
C,,5,C5,whole,4.0,46,1329831415088
D,,5,D5,whole,4.0,47,1329831415088
C,,5,C5,whole,4.0,47,1329831415088
C,,5,C5,whole,4.0,48,1329831415088
B,-1,4,B[-1]4,whole,4.0,49,1329831415088
A,,4,A4,whole,4.0,49,1329831415088
A,,4,A4,whole,4.0,50,1329831415088
G,,4,G4,breve,8.0,51,1329831415088
Rest,,,Rest,whole,4.0,52,1329831415088
