step,alteration,octave,pitch,type,duration,measureCount,voice
A,,4,A4,breve,8.0,0,1329831207856
B,-1,4,B[-1]4,whole,4.0,1,1329831207856
A,,4,A4,whole,4.0,1,1329831207856
B,,4,B4,whole,4.0,1,1329831207856
D,,5,D5,whole,4.0,1,1329831207856
C,0,5,C5,whole,4.0,2,1329831207856
B,-1,4,B[-1]4,whole,4.0,2,1329831207856
A,,4,A4,whole,4.0,2,1329831207856
A,,4,A4,whole,4.0,2,1329831207856
D,,5,D5,whole,4.0,3,1329831207856
D,,5,D5,whole,4.0,3,1329831207856
C,0,5,C5,whole,4.0,3,1329831207856
A,,4,A4,whole,4.0,3,1329831207856
B,-1,4,B[-1]4,whole,4.0,4,1329831207856
G,,4,G4,whole,4.0,4,1329831207856
F,0,4,F4,breve,8.0,4,1329831207856
C,0,5,C5,breve,8.0,5,1329831207856
Rest,,,Rest,whole,4.0,5,1329831207856
A,,4,A4,whole,4.0,5,1329831207856
C,0,5,C5,whole,4.0,6,1329831207856
B,-1,4,B[-1]4,half,2.0,6,1329831207856
A,,4,A4,whole,4.0,6,1329831207856
G,,4,G4,half,2.0,6,1329831207856
Rest,,,Rest,whole,4.0,6,1329831207856
F,0,4,F4,half,2.0,7,1329831207856
E,,4,E4,half,2.0,7,1329831207856
D,,4,D4,whole,4.0,7,1329831207856
Rest,,,Rest,breve,8.0,7,1329831207856
C,0,4,C4,breve,8.0,8,1329831207856
Rest,,,Rest,whole,4.0,8,1329831207856
C,1,5,C[1]5,whole,4.0,8,1329831207856
A,,4,A4,whole,4.0,9,1329831207856
A,,4,A4,whole,4.0,9,1329831207856
B,-1,4,B[-1]4,whole,4.0,9,1329831207856
C,0,5,C5,whole,4.0,9,1329831207856
D,,5,D5,breve,8.0,10,1329831207856
A,,4,A4,breve,8.0,10,1329831207856
Rest,,,Rest,whole,4.0,11,1329831207856
D,,5,D5,whole,4.0,11,1329831207856
C,0,5,C5,whole,4.0,11,1329831207856
B,-1,4,B[-1]4,whole,4.0,11,1329831207856
A,,4,A4,whole,4.0,12,1329831207856
G,,4,G4,whole,4.0,12,1329831207856
F,0,4,F4,half,2.0,12,1329831207856
D,,4,D4,half,2.0,12,1329831207856
E,,4,E4,whole,4.0,12,1329831207856
D,,4,D4,breve,8.0,13,1329831207856
Rest,,,Rest,breve,8.0,13,1329831207856
