step,alteration,octave,pitch,type,duration,measureCount,voice
A,,4,A4,quarter,1.0,0,1329830709952
A,,4,A4,half,2.0,1,1329830709952
A,,4,A4,quarter,1.0,1,1329830709952
A,,4,A4,half,2.0,1,1329830709952
G,1,4,G[1]4,quarter,1.0,1,1329830709952
E,,4,E4,half,3.0,2,1329830709952
B,,4,B4,half,2.0,2,1329830709952
C,1,5,C[1]5,quarter,1.0,2,1329830709952
B,,4,B4,half,2.0,3,1329830709952
A,,4,A4,quarter,1.0,3,1329830709952
G,1,4,G[1]4,half,2.0,3,1329830709952
F,1,4,F[1]4,quarter,1.0,3,1329830709952
E,,4,E4,half,3.0,4,1329830709952
E,,4,E4,half,2.0,4,1329830709952
A,,4,A4,quarter,1.0,4,1329830709952
A,,4,A4,half,2.0,5,1329830709952
A,,4,A4,quarter,1.0,5,1329830709952
A,,4,A4,half,2.0,5,1329830709952
G,1,4,G[1]4,quarter,1.0,5,1329830709952
E,,4,E4,half,3.0,6,1329830709952
B,,4,B4,half,2.0,6,1329830709952
C,1,5,C[1]5,quarter,1.0,6,1329830709952
B,,4,B4,half,2.0,7,1329830709952
A,,4,A4,quarter,1.0,7,1329830709952
G,1,4,G[1]4,half,2.0,7,1329830709952
F,1,4,F[1]4,quarter,1.0,7,1329830709952
E,,4,E4,half,3.0,8,1329830709952
E,,4,E4,half,2.0,8,1329830709952
E,,4,E4,quarter,1.0,8,1329830709952
A,,4,A4,half,2.0,9,1329830709952
A,,4,A4,quarter,1.0,9,1329830709952
G,1,4,G[1]4,half,2.0,9,1329830709952
E,,4,E4,quarter,1.0,9,1329830709952
A,,4,A4,half,3.0,10,1329830709952
B,,4,B4,half,2.0,10,1329830709952
B,,4,B4,quarter,1.0,10,1329830709952
B,,4,B4,half,2.0,11,1329830709952
B,,4,B4,quarter,1.0,11,1329830709952
C,1,5,C[1]5,half,2.0,11,1329830709952
C,1,5,C[1]5,quarter,1.0,11,1329830709952
B,,4,B4,half,2.0,12,1329830709952
A,,4,A4,quarter,1.0,12,1329830709952
B,,4,B4,half,2.0,12,1329830709952
B,,4,B4,quarter,1.0,12,1329830709952
E,,5,E5,half,2.0,13,1329830709952
D,,5,D5,quarter,1.0,13,1329830709952
C,1,5,C[1]5,half,2.0,13,1329830709952
B,,4,B4,quarter,1.0,13,1329830709952
A,,4,A4,half,3.0,14,1329830709952
D,,5,D5,half,2.0,14,1329830709952
B,,4,B4,quarter,1.0,14,1329830709952
C,1,5,C[1]5,half,2.0,15,1329830709952
B,,4,B4,quarter,1.0,15,1329830709952
A,,4,A4,half,2.0,15,1329830709952
G,1,4,G[1]4,quarter,1.0,15,1329830709952
A,,4,A4,half,3.0,16,1329830709952
A,,4,A4,half,2.0,16,1329830709952
Rest,,,Rest,quarter,1.0,16,1329830709952
