step,alteration,octave,pitch,type,duration,measureCount,voice
A,,4,A4,half,2.0,1,2400777371168
A,,4,A4,half,2.0,1,2400777371168
A,,4,A4,half,2.0,1,2400777371168
A,,4,A4,half,2.0,2,2400777371168
B,,4,B4,half,2.0,2,2400777371168
C,0,5,C5,half,2.0,2,2400777371168
A,,4,A4,half,2.0,2,2400777371168
A,,4,A4,whole,4.0,2,2400777371168
rest,,,rest,half,2.0,3,2400777371168
C,0,5,C5,half,2.0,3,2400777371168
C,1,5,C[1]5,half,2.0,3,2400777371168
C,1,5,C[1]5,half,2.0,3,2400777371168
B,,4,B4,whole,4.0,4,2400777371168
A,,4,A4,half,2.0,4,2400777371168
B,,4,B4,half,2.0,4,2400777371168
A,,4,A4,half,2.0,4,2400777371168
A,,4,A4,whole,4.0,4,2400777371168
A,,4,A4,whole,4.0,4,2400777371168
B,,4,B4,whole,4.0,4,2400777371168
A,,4,A4,half,2.0,4,2400777371168
G,0,4,G4,half,2.0,4,2400777371168
F,0,4,F4,half,2.0,4,2400777371168
E,,4,E4,half,2.0,4,2400777371168
E,,4,E4,whole,4.0,4,2400777371168
rest,,,rest,half,2.0,5,2400777371168
A,,4,A4,half,2.0,5,2400777371168
A,,4,A4,half,2.0,5,2400777371168
A,,4,A4,half,2.0,5,2400777371168
A,,4,A4,half,2.0,6,2400777371168
B,,4,B4,half,2.0,6,2400777371168
C,0,5,C5,half,2.0,6,2400777371168
A,,4,A4,half,2.0,6,2400777371168
A,,4,A4,whole,4.0,7,2400777371168
rest,,,rest,half,2.0,8,2400777371168
C,0,5,C5,half,2.0,8,2400777371168
C,1,5,C[1]5,half,2.0,8,2400777371168
C,1,5,C[1]5,half,2.0,8,2400777371168
B,,4,B4,whole,4.0,9,2400777371168
A,,4,A4,half,2.0,9,2400777371168
B,,4,B4,half,2.0,9,2400777371168
A,,4,A4,half,2.0,9,2400777371168
A,,4,A4,whole,4.0,9,2400777371168
A,,4,A4,whole,4.0,9,2400777371168
B,,4,B4,whole,4.0,9,2400777371168
A,,4,A4,half,2.0,10,2400777371168
G,0,4,G4,half,2.0,10,2400777371168
F,0,4,F4,half,2.0,10,2400777371168
E,,4,E4,half,2.0,10,2400777371168
E,,4,E4,whole,4.0,10,2400777371168
rest,,,rest,half,2.0,11,2400777371168
E,,4,E4,half,2.0,11,2400777371168
E,,4,E4,half,2.0,11,2400777371168
E,,4,E4,half,2.0,11,2400777371168
G,0,4,G4,half,2.0,12,2400777371168
G,1,4,G[1]4,half,2.0,12,2400777371168
A,,4,A4,half,2.0,12,2400777371168
A,,4,A4,half,2.0,12,2400777371168
A,,4,A4,whole,4.0,13,2400777371168
A,,4,A4,half,2.0,13,2400777371168
A,,4,A4,half,2.0,13,2400777371168
A,,4,A4,half,2.0,13,2400777371168
G,0,4,G4,half,2.0,14,2400777371168
F,0,4,F4,half,2.0,14,2400777371168
E,,4,E4,half,2.0,14,2400777371168
C,0,4,C4,half,2.0,14,2400777371168
rest,,,rest,half,2.0,15,2400777371168
C,0,4,C4,half,2.0,15,2400777371168
G,0,4,G4,half,2.0,15,2400777371168
G,1,4,G[1]4,half,2.0,15,2400777371168
G,0,4,G4,half,2.0,16,2400777371168
G,1,4,G[1]4,half,2.0,16,2400777371168
A,,4,A4,half,2.0,16,2400777371168
A,,4,A4,half,2.0,16,2400777371168
A,,4,A4,whole,4.0,17,2400777371168
A,,4,A4,half,2.0,17,2400777371168
A,,4,A4,half,2.0,17,2400777371168
A,,4,A4,half,2.0,17,2400777371168
G,0,4,G4,half,2.0,17,2400777371168
F,0,4,F4,half,2.0,18,2400777371168
E,,4,E4,half,2.0,18,2400777371168
E,,4,E4,whole,4.0,18,2400777371168
rest,,,rest,half,2.0,19,2400777371168
E,,4,E4,half,2.0,19,2400777371168
E,,4,E4,half,2.0,19,2400777371168
E,,4,E4,half,2.0,19,2400777371168
G,0,4,G4,half,2.0,20,2400777371168
G,1,4,G[1]4,half,2.0,20,2400777371168
E,,4,E4,half,2.0,20,2400777371168
D,0,4,D4,half,2.0,20,2400777371168
C,0,4,C4,whole,4.0,21,2400777371168
rest,,,rest,half,2.0,22,2400777371168
C,0,4,C4,half,2.0,22,2400777371168
G,0,4,G4,half,2.0,22,2400777371168
G,1,4,G[1]4,half,2.0,22,2400777371168
A,,4,A4,half,2.0,23,2400777371168
B,,4,B4,half,2.0,23,2400777371168
C,0,5,C5,whole,4.0,23,2400777371168
B,,4,B4,half,2.0,23,2400777371168
A,,4,A4,whole,4.0,23,2400777371168
G,0,4,G4,quarter,1.0,23,2400777371168
F,0,4,F4,quarter,1.0,23,2400777371168
E,,4,E4,whole,4.0,23,2400777371168
A,,4,A4,half,2.0,23,2400777371168
B,,4,B4,whole,4.0,24,2400777371168
A,,4,A4,half,2.0,24,2400777371168
G,0,4,G4,whole,4.0,25,2400777371168
F,0,4,F4,half,2.0,25,2400777371168
E,,4,E4,whole,4.0,26,2400777371168
C,0,4,C4,half,2.0,26,2400777371168
D,0,4,D4,whole,4.0,27,2400777371168
E,,4,E4,breve,8.0,27,2400777371168
