step,alteration,octave,pitch,type,duration,measureCount,voice
Rest,,,Rest,half,2.0,0,1329831413312
G,,4,G4,half,2.0,0,1329831413312
G,,4,G4,half,2.0,0,1329831413312
G,,4,G4,half,2.0,0,1329831413312
C,,5,C5,half,2.0,1,1329831413312
A,,4,A4,half,2.0,1,1329831413312
B,,4,B4,half,2.0,1,1329831413312
C,,5,C5,half,2.0,1,1329831413312
D,,5,D5,whole,4.0,2,1329831413312
Rest,,,Rest,half,2.0,2,1329831413312
G,,4,G4,half,2.0,2,1329831413312
C,,5,C5,half,2.0,3,1329831413312
D,,5,D5,half,2.0,3,1329831413312
E,,5,E5,half,2.0,4,1329831413312
D,,5,D5,quarter,1.0,4,1329831413312
C,,5,C5,quarter,1.0,4,1329831413312
B,,4,B4,half,2.0,4,1329831413312
C,,5,C5,half,2.0,4,1329831413312
D,,5,D5,whole,4.0,5,1329831413312
C,,5,C5,half,2.0,5,1329831413312
C,,5,C5,half,2.0,5,1329831413312
B,,4,B4,half,2.0,6,1329831413312
C,,5,C5,half,2.0,6,1329831413312
D,,5,D5,half,2.0,6,1329831413312
E,,5,E5,half,2.0,6,1329831413312
E,,5,E5,half,2.0,7,1329831413312
D,,5,D5,half,2.0,7,1329831413312
C,,5,C5,half,3.0,7,1329831413312
B,,4,B4,eighth,0.5,7,1329831413312
A,,4,A4,eighth,0.5,7,1329831413312
G,,4,G4,whole,4.0,8,1329831413312
C,,5,C5,whole,4.0,8,1329831413312
A,,4,A4,half,3.0,9,1329831413312
B,,4,B4,quarter,1.0,9,1329831413312
C,,5,C5,half,2.0,9,1329831413312
D,,5,D5,half,2.0,9,1329831413312
D,,5,D5,half,2.0,10,1329831413312
C,,5,C5,half,2.0,10,1329831413312
B,,4,B4,half,2.0,10,1329831413312
B,,4,B4,half,2.0,10,1329831413312
A,,4,A4,half,2.0,11,1329831413312
G,,4,G4,half,2.0,11,1329831413312
A,,4,A4,whole,4.0,11,1329831413312
G,,4,G4,whole,4.0,12,1329831413312
Rest,,,Rest,whole,4.0,12,1329831413312
