step,alteration,octave,pitch,type,duration,measureCount,voice
F,,4,F4,half,2.0,0,2400777818496
F,,4,F4,half,2.0,1,2400777818496
A,,4,A4,half,2.0,1,2400777818496
G,,4,G4,half,2.0,1,2400777818496
F,,4,F4,half,2.0,1,2400777818496
E,,4,E4,whole,4.0,2,2400777818496
F,,4,F4,half,2.0,2,2400777818496
G,,4,G4,half,2.0,2,2400777818496
A,,4,A4,whole,4.0,3,2400777818496
A,,4,A4,half,2.0,3,2400777818496
B,-1,4,B[-1]4,half,2.0,3,2400777818496
G,,4,G4,whole,4.0,4,2400777818496
F,,4,F4,whole,6.0,5,2400777818496
F,,4,F4,half,2.0,5,2400777818496
F,,4,F4,half,2.0,6,2400777818496
A,,4,A4,half,2.0,6,2400777818496
G,,4,G4,half,2.0,6,2400777818496
F,,4,F4,half,2.0,6,2400777818496
E,,4,E4,whole,4.0,7,2400777818496
F,,4,F4,half,2.0,7,2400777818496
G,,4,G4,half,2.0,7,2400777818496
A,,4,A4,whole,4.0,8,2400777818496
A,,4,A4,half,2.0,8,2400777818496
B,-1,4,B[-1]4,half,2.0,8,2400777818496
G,,4,G4,whole,4.0,9,2400777818496
F,,4,F4,whole,6.0,10,2400777818496
F,,4,F4,half,2.0,10,2400777818496
A,,4,A4,half,2.0,11,2400777818496
G,,4,G4,half,2.0,11,2400777818496
A,,4,A4,half,2.0,11,2400777818496
B,-1,4,B[-1]4,half,2.0,11,2400777818496
C,,5,C5,whole,4.0,12,2400777818496
F,,4,F4,half,2.0,12,2400777818496
B,-1,4,B[-1]4,half,2.0,12,2400777818496
A,,4,A4,half,2.0,13,2400777818496
A,,4,A4,half,2.0,13,2400777818496
A,,4,A4,half,2.0,13,2400777818496
G,,4,G4,quarter,1.0,13,2400777818496
F,,4,F4,quarter,1.0,13,2400777818496
E,,4,E4,whole,4.0,14,2400777818496
F,,4,F4,half,2.0,14,2400777818496
G,,4,G4,half,2.0,14,2400777818496
A,,4,A4,half,2.0,15,2400777818496
B,-1,4,B[-1]4,half,2.0,15,2400777818496
C,,5,C5,half,2.0,15,2400777818496
A,,4,A4,half,2.0,15,2400777818496
G,,4,G4,whole,4.0,16,2400777818496
F,,4,F4,whole,6.0,17,2400777818496
rest,,,rest,half,2.0,17,2400777818496
