step,octave,type,duration,noteCount,measureCount,partCount
G,3,half,20160,2,1,6
C,4,half,20160,3,1,6
C,4,half,20160,4,1,6
C,4,half,20160,1,2,6
D,4,half,20160,2,2,6
B,3,half,20160,3,2,6
A,3,half,20160,4,2,6
G,3,whole,40320,1,3,6
Rest,,half,20160,2,3,6
C,4,half,20160,3,3,6
B,3,half,20160,1,4,6
G,3,half,20160,2,4,6
A,3,half,20160,3,4,6
A,3,half,20160,4,4,6
G,3,whole,40320,1,5,6
Rest,,half,20160,2,5,6
G,3,half,20160,3,5,6
C,4,half,20160,1,6,6
C,4,half,20160,2,6,6
G,4,half,30240,3,6,6
F,4,quarter,10080,4,6,6
E,4,whole,40320,1,7,6
D,4,whole,40320,2,7,6
C,4,quarter,10080,1,8,6
D,4,quarter,10080,2,8,6
E,4,quarter,10080,3,8,6
D,4,quarter,10080,4,8,6
C,4,half,20160,5,8,6
B,3,quarter,10080,6,8,6
A,3,quarter,10080,7,8,6
B,3,breve,80640,1,9,6
Rest,,half,20160,1,10,6
G,3,half,20160,2,10,6
A,3,half,20160,3,10,6
B,3,half,20160,4,10,6
C,4,half,30240,1,11,6
D,4,quarter,10080,2,11,6
E,4,half,20160,3,11,6
D,4,half,20160,4,11,6
C,4,breve,80640,1,12,6
Rest,,half,20160,1,13,6
Rest,,whole,60480,2,13,6
