step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
G,,4,G4,half,20160,2,1,6
G,,4,G4,half,20160,3,1,6
G,,4,G4,half,20160,4,1,6
D,,5,D5,whole,40320,1,2,6
G,,5,G5,whole,40320,2,2,6
F,0,5,F5,half,20160,1,3,6
E,,5,E5,half,20160,2,3,6
C,,5,C5,whole,40320,3,3,6
Rest,,,Rest,half,20160,1,4,6
C,,5,C5,half,20160,2,4,6
F,0,5,F5,half,20160,3,4,6
D,,5,D5,half,20160,4,4,6
E,,5,E5,whole,40320,1,5,6
D,,5,D5,whole,40320,2,5,6
G,,5,G5,half,30240,1,6,6
F,0,5,F5,quarter,10080,2,6,6
E,,5,E5,half,20160,3,6,6
D,,5,D5,half,20160,4,6,6
E,,5,E5,whole,40320,1,7,6
D,,5,D5,whole,40320,2,7,6
Rest,,,Rest,half,20160,1,8,6
G,,5,G5,half,20160,2,8,6
F,0,5,F5,half,20160,3,8,6
E,,5,E5,half,20160,4,8,6
F,0,5,F5,whole,40320,1,9,6
D,,5,D5,half,20160,2,9,6
D,,5,D5,half,20160,3,9,6
C,,5,C5,half,20160,1,10,6
B,-1,4,B[-1]4,half,20160,2,10,6
A,,4,A4,whole,40320,3,10,6
Rest,,,Rest,half,20160,1,11,6
G,,4,G4,half,20160,2,11,6
B,-1,4,B[-1]4,half,20160,3,11,6
A,,4,A4,half,20160,4,11,6
B,-1,4,B[-1]4,half,20160,1,12,6
F,0,5,F5,half,20160,2,12,6
D,,5,D5,half,30240,3,12,6
C,,5,C5,eighth,5040,4,12,6
B,,4,B4,eighth,5040,5,12,6
C,,5,C5,half,30240,1,13,6
B,-1,4,B[-1]4,quarter,10080,2,13,6
A,,4,A4,half,20160,3,13,6
G,,4,G4,half,20160,4,13,6
A,,4,A4,whole,40320,1,14,6
G,,4,G4,whole,40320,2,14,6
Rest,,,Rest,half,20160,1,15,6
Rest,,,Rest,whole,60480,2,15,6
