step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
G,,4,G4,quarter,10080,2,1,6
G,,4,G4,quarter,15120,1,2,6
A,,4,A4,eighth,5040,2,2,6
B,-1,4,B[-1]4,quarter,10080,3,2,6
A,,4,A4,half,20160,1,3,6
G,,4,G4,quarter,10080,2,3,6
A,,4,A4,quarter,15120,1,4,6
B,-1,4,B[-1]4,eighth,5040,2,4,6
C,,5,C5,quarter,10080,3,4,6
D,,5,D5,half,20160,1,5,6
D,,5,D5,quarter,10080,2,5,6
C,,5,C5,quarter,15120,1,6,6
B,-1,4,B[-1]4,eighth,5040,2,6,6
A,,4,A4,quarter,10080,3,6,6
B,-1,4,B[-1]4,quarter,10080,1,7,6
G,,4,G4,half,20160,2,7,6
F,0,4,F4,half,30240,1,8,6
F,1,4,F[1]4,quarter,10080,1,9,6
Rest,,,Rest,quarter,10080,2,9,6
F,0,4,F4,quarter,10080,3,9,6
A,,4,A4,half,20160,1,10,6
B,-1,4,B[-1]4,quarter,10080,2,10,6
C,,5,C5,half,20160,1,11,6
B,-1,4,B[-1]4,quarter,10080,2,11,6
G,,4,G4,quarter,15120,1,12,6
A,,4,A4,eighth,5040,2,12,6
B,-1,4,B[-1]4,quarter,10080,3,12,6
A,,4,A4,half,20160,1,13,6
G,,4,G4,quarter,10080,2,13,6
F,0,4,F4,quarter,10080,1,14,6
D,,4,D4,half,20160,2,14,6
G,,4,G4,half,20160,1,15,6
F,1,4,F[1]4,quarter,10080,2,15,6
G,,4,G4,half,30240,1,16,6
G,,4,G4,quarter,10080,1,17,6
Rest,,,Rest,quarter,10080,2,17,6
Rest,,,Rest,quarter,10080,3,17,6
