step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
A,,4,A4,whole,40320,2,1,6
A,,4,A4,whole,40320,1,2,6
E,,4,E4,whole,40320,2,2,6
A,,4,A4,whole,40320,3,2,6
A,,4,A4,whole,40320,4,2,6
A,,4,A4,whole,40320,1,3,6
B,,4,B4,whole,40320,2,3,6
C,0,5,C5,whole,40320,3,3,6
C,1,5,C[1]5,whole,40320,4,3,6
B,,4,B4,whole,40320,1,4,6
A,,4,A4,whole,40320,2,4,6
Rest,,,Rest,whole,40320,3,4,6
C,0,5,C5,whole,40320,4,4,6
C,0,5,C5,whole,40320,1,5,6
C,1,5,C[1]5,whole,40320,2,5,6
C,1,5,C[1]5,whole,40320,3,5,6
C,1,5,C[1]5,whole,40320,4,5,6
D,0,5,D5,whole,40320,1,6,6
C,0,5,C5,whole,40320,2,6,6
B,,4,B4,whole,40320,3,6,6
A,,4,A4,whole,40320,4,6,6
C,0,5,C5,whole,40320,1,7,6
B,,4,B4,whole,40320,2,7,6
A,,4,A4,whole,40320,3,7,6
A,,4,A4,whole,40320,4,7,6
E,,4,E4,whole,40320,1,8,6
E,,4,E4,whole,40320,2,8,6
Rest,,,Rest,whole,40320,3,8,6
A,,4,A4,whole,40320,4,8,6
A,,4,A4,whole,40320,1,9,6
E,,4,E4,whole,40320,2,9,6
A,,4,A4,whole,40320,3,9,6
A,,4,A4,whole,40320,4,9,6
A,,4,A4,whole,40320,1,10,6
B,,4,B4,whole,40320,2,10,6
C,0,5,C5,whole,40320,3,10,6
C,1,5,C[1]5,whole,40320,4,10,6
B,,4,B4,whole,40320,1,11,6
A,,4,A4,whole,40320,2,11,6
Rest,,,Rest,whole,40320,3,11,6
C,0,5,C5,whole,40320,4,11,6
C,0,5,C5,whole,40320,1,12,6
C,1,5,C[1]5,whole,40320,2,12,6
C,1,5,C[1]5,whole,40320,3,12,6
C,1,5,C[1]5,whole,40320,4,12,6
D,0,5,D5,whole,40320,1,13,6
C,0,5,C5,whole,40320,2,13,6
B,,4,B4,whole,40320,3,13,6
A,,4,A4,whole,40320,4,13,6
C,0,5,C5,whole,40320,1,14,6
B,,4,B4,whole,40320,2,14,6
A,,4,A4,whole,40320,3,14,6
A,,4,A4,whole,40320,4,14,6
E,,4,E4,whole,40320,1,15,6
E,,4,E4,whole,40320,2,15,6
B,,4,B4,whole,40320,3,15,6
D,0,5,D5,whole,40320,4,15,6
C,0,5,C5,whole,40320,1,16,6
B,,4,B4,whole,40320,2,16,6
A,,4,A4,whole,40320,3,16,6
G,0,4,G4,whole,40320,4,16,6
G,0,4,G4,whole,40320,1,17,6
G,1,4,G[1]4,whole,40320,2,17,6
E,,4,E4,whole,40320,3,17,6
C,0,4,C4,whole,40320,4,17,6
Rest,,,Rest,whole,40320,1,18,6
G,1,4,G[1]4,whole,40320,2,18,6
G,1,4,G[1]4,whole,40320,3,18,6
G,1,4,G[1]4,whole,40320,4,18,6
G,0,4,G4,whole,40320,1,19,6
G,1,4,G[1]4,whole,40320,2,19,6
G,1,4,G[1]4,whole,40320,3,19,6
A,,4,A4,whole,40320,4,19,6
G,0,4,G4,whole,40320,1,20,6
Rest,,,Rest,whole,40320,2,20,6
A,,4,A4,whole,40320,3,20,6
B,,4,B4,whole,40320,4,20,6
C,0,5,C5,whole,40320,1,21,6
B,,4,B4,whole,40320,2,21,6
A,,4,A4,whole,40320,3,21,6
G,0,4,G4,whole,40320,4,21,6
A,,4,A4,whole,40320,1,22,6
E,,4,E4,breve,80640,2,22,6
F,0,4,F4,whole,40320,3,22,6
E,,4,E4,long,161280,1,23,6
