step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
F,,4,F4,half,20160,2,1,6
F,,4,F4,whole,40320,1,2,6
F,,4,F4,half,20160,2,2,6
E,,4,E4,half,30240,1,3,6
F,,4,F4,quarter,10080,2,3,6
G,,4,G4,half,20160,3,3,6
F,,4,F4,half,20160,1,4,6
D,,4,D4,whole,40320,2,4,6
C,,4,C4,whole,40320,1,5,6
F,,4,F4,half,20160,2,5,6
F,,4,F4,half,20160,1,6,6
D,,4,D4,whole,40320,2,6,6
C,,4,C4,whole,40320,1,7,6
C,,4,C4,half,20160,2,7,6
G,,4,G4,whole,40320,1,8,6
G,,4,G4,half,20160,2,8,6
A,,4,A4,whole,40320,1,9,6
G,,4,G4,half,20160,2,9,6
F,,4,F4,half,20160,1,10,6
E,,4,E4,half,20160,2,10,6
D,,4,D4,half,20160,3,10,6
E,,4,E4,whole,40320,1,11,6
Rest,,,Rest,half,20160,2,11,6
C,,4,C4,half,20160,1,12,6
D,,4,D4,half,20160,2,12,6
E,,4,E4,half,20160,3,12,6
F,,4,F4,whole,40320,1,13,6
Rest,,,Rest,half,20160,2,13,6
C,,4,C4,half,20160,1,14,6
D,,4,D4,half,20160,2,14,6
E,,4,E4,half,20160,3,14,6
F,,4,F4,whole,40320,1,15,6
Rest,,,Rest,half,20160,2,15,6
