step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
G,,3,G3,eighth,5040,2,1,6
C,,4,C4,eighth,5040,1,2,6
B,,3,B3,eighth,5040,2,2,6
C,,4,C4,quarter,10080,3,2,6
D,,4,D4,quarter,10080,4,2,6
B,,3,B3,eighth,5040,1,3,6
F,1,3,F[1]3,eighth,5040,2,3,6
G,,3,G3,quarter,15120,3,3,6
C,,4,C4,eighth,5040,4,3,6
F,,4,F4,eighth,5040,1,4,6
G,,4,G4,eighth,5040,2,4,6
F,,4,F4,eighth,5040,3,4,6
E,,4,E4,eighth,5040,4,4,6
C,,4,C4,quarter,10080,5,4,6
D,,4,D4,quarter,10080,1,5,6
E,,4,E4,quarter,10080,2,5,6
Rest,,,Rest,eighth,5040,3,5,6
C,,4,C4,eighth,5040,4,5,6
E,,4,E4,eighth,5040,1,6,6
F,,4,F4,eighth,5040,2,6,6
G,,4,G4,quarter,15120,3,6,6
C,,4,C4,eighth,5040,4,6,6
D,,4,D4,eighth,5040,1,7,6
E,,4,E4,eighth,5040,2,7,6
F,,4,F4,quarter,15120,3,7,6
C,,4,C4,eighth,5040,4,7,6
E,,4,E4,eighth,5040,1,8,6
C,,4,C4,eighth,5040,2,8,6
D,,4,D4,quarter,10080,3,8,6
C,,4,C4,quarter,10080,4,8,6
B,,3,B3,quarter,10080,1,9,6
C,,4,C4,quarter,10080,2,9,6
Rest,,,Rest,eighth,5040,3,9,6
Rest,,,Rest,eighth,5040,4,9,6
