step,octave,type,duration,noteCount,measureCount,partCount
C,4,quarter,10080,2,1,6
F,4,half,20160,1,2,6
F,4,quarter,10080,2,2,6
A,4,half,20160,3,2,6
A,4,quarter,10080,4,2,6
C,5,half,20160,1,3,6
C,5,quarter,10080,2,3,6
A,4,half,20160,3,3,6
C,5,quarter,10080,4,3,6
C,5,half,20160,1,4,6
C,5,quarter,10080,2,4,6
B,4,half,20160,3,4,6
A,4,quarter,10080,4,4,6
G,4,half,30240,1,5,6
F,4,half,20160,2,5,6
C,4,quarter,10080,3,5,6
F,4,half,20160,1,6,6
F,4,quarter,10080,2,6,6
A,4,half,20160,3,6,6
A,4,quarter,10080,4,6,6
C,5,half,20160,1,7,6
C,5,quarter,10080,2,7,6
A,4,half,20160,3,7,6
C,5,quarter,10080,4,7,6
C,5,half,20160,1,8,6
C,5,quarter,10080,2,8,6
B,4,half,20160,3,8,6
A,4,quarter,10080,4,8,6
G,4,half,30240,1,9,6
F,4,half,20160,2,9,6
C,5,quarter,10080,3,9,6
D,5,half,20160,1,10,6
C,5,quarter,10080,2,10,6
C,5,half,20160,3,10,6
B,4,quarter,10080,4,10,6
A,4,half,30240,1,11,6
G,4,half,20160,2,11,6
A,4,quarter,10080,3,11,6
B,4,half,20160,1,12,6
B,4,quarter,10080,2,12,6
C,5,quarter,10080,3,12,6
A,4,quarter,10080,4,12,6
B,4,quarter,10080,5,12,6
G,4,half,30240,1,13,6
G,4,quarter,10080,2,13,6
Rest,,quarter,10080,3,13,6
C,5,quarter,10080,4,13,6
D,5,half,20160,1,14,6
C,5,quarter,10080,2,14,6
C,5,half,20160,3,14,6
A,4,quarter,10080,4,14,6
F,4,half,20160,1,15,6
C,5,quarter,10080,2,15,6
A,4,half,20160,3,15,6
C,5,quarter,10080,4,15,6
C,5,half,20160,1,16,6
C,5,quarter,10080,2,16,6
A,4,quarter,10080,3,16,6
B,4,quarter,10080,4,16,6
G,4,quarter,10080,5,16,6
F,4,half,30240,1,17,6
F,4,quarter,10080,2,17,6
Rest,,quarter,10080,3,17,6
Rest,,quarter,10080,4,17,6
