step,octave,type,duration,noteCount,measureCount,partCount
C,5,whole,40320,2,1,6
C,5,breve,80640,1,2,6
C,5,whole,40320,2,2,6
F,4,breve,80640,1,3,6
F,4,whole,40320,2,3,6
B,4,breve,80640,1,4,6
A,4,whole,40320,2,4,6
G,4,breve,80640,1,5,6
G,4,whole,40320,2,5,6
D,5,breve,80640,1,6,6
D,5,whole,40320,2,6,6
C,5,breve,80640,1,7,6
B,4,whole,40320,2,7,6
A,4,whole,60480,1,8,6
B,4,half,20160,2,8,6
C,5,half,20160,3,8,6
A,4,half,20160,4,8,6
B,4,whole,40320,1,9,6
G,4,breve,80640,2,9,6
F,4,breve,80640,1,10,6
Rest,,whole,40320,2,10,6
