step,octave,type,duration,noteCount,measureCount,partCount
F,4,half,20160,2,1,6
F,4,whole,40320,1,2,6
F,4,half,20160,2,2,6
A,4,whole,40320,3,2,6
B,4,half,20160,4,2,6
C,5,whole,40320,1,3,6
A,4,half,20160,2,3,6
F,4,whole,40320,3,3,6
F,5,half,20160,4,3,6
F,5,whole,40320,1,4,6
F,5,half,20160,2,4,6
E,5,whole,40320,3,4,6
C,5,half,20160,4,4,6
D,5,whole,60480,1,5,6
C,5,whole,40320,2,5,6
F,4,half,20160,3,5,6
C,5,whole,40320,1,6,6
F,5,half,20160,2,6,6
E,5,half,20160,3,6,6
C,5,half,20160,4,6,6
D,5,half,20160,5,6,6
C,5,whole,40320,1,7,6
C,5,half,20160,2,7,6
A,4,whole,40320,3,7,6
D,5,half,20160,4,7,6
C,5,half,30240,1,8,6
B,4,quarter,10080,2,8,6
A,4,half,20160,3,8,6
G,4,half,20160,4,8,6
F,4,half,20160,5,8,6
E,4,half,20160,6,8,6
D,4,whole,60480,1,9,6
C,4,whole,40320,2,9,6
C,4,half,20160,3,9,6
F,4,half,30240,1,10,6
G,4,quarter,10080,2,10,6
A,4,quarter,10080,3,10,6
B,4,quarter,10080,4,10,6
C,5,whole,40320,5,10,6
B,4,quarter,10080,6,10,6
A,4,quarter,10080,7,10,6
G,4,whole,60480,1,11,6
F,4,whole,40320,2,11,6
Rest,,half,20160,3,11,6
