step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
G,,4,G4,half,20160,2,1,6
G,,4,G4,half,20160,1,2,6
G,,4,G4,half,20160,2,2,6
A,,4,A4,half,20160,3,2,6
B,,4,B4,half,20160,4,2,6
C,,5,C5,whole,40320,1,3,6
C,,5,C5,whole,40320,2,3,6
Rest,,,Rest,half,20160,2,4,6
D,,5,D5,half,20160,3,4,6
E,,5,E5,whole,40320,2,5,6
E,,5,E5,half,20160,3,5,6
D,,5,D5,half,20160,4,5,6
D,,5,D5,half,20160,2,6,6
D,,5,D5,half,20160,3,6,6
C,,5,C5,half,30240,2,7,6
D,,5,D5,quarter,10080,3,7,6
E,,5,E5,quarter,10080,4,7,6
C,,5,C5,quarter,10080,5,7,6
D,,5,D5,half,20160,6,7,6
D,,5,D5,half,20160,2,8,6
G,,4,G4,half,20160,3,8,6
A,,4,A4,half,20160,2,9,6
D,,5,D5,half,20160,3,9,6
D,,5,D5,half,20160,4,9,6
C,,5,C5,half,20160,5,9,6
C,,5,C5,half,20160,2,10,6
D,,5,D5,half,20160,3,10,6
B,,4,B4,half,30240,2,11,6
A,,4,A4,quarter,10080,3,11,6
G,,4,G4,whole,40320,4,11,6
Rest,,,Rest,half,20160,2,12,6
D,,5,D5,half,20160,3,12,6
C,,5,C5,half,20160,2,13,6
A,,4,A4,half,20160,3,13,6
B,,4,B4,half,20160,4,13,6
C,,5,C5,half,20160,5,13,6
C,,5,C5,half,20160,2,14,6
B,-1,4,B[-1]4,half,20160,3,14,6
B,-1,4,B[-1]4,half,20160,2,15,6
A,,4,A4,quarter,10080,3,15,6
G,,4,G4,quarter,10080,4,15,6
A,,4,A4,whole,40320,5,15,6
Rest,,,Rest,half,20160,2,16,6
G,,4,G4,half,20160,3,16,6
A,,4,A4,half,20160,2,17,6
D,,5,D5,half,20160,3,17,6
D,,5,D5,half,20160,4,17,6
C,,5,C5,half,20160,5,17,6
C,,5,C5,half,20160,2,18,6
D,,5,D5,half,20160,3,18,6
C,,5,C5,half,30240,2,19,6
B,,4,B4,quarter,10080,3,19,6
A,,4,A4,whole,40320,4,19,6
Rest,,,Rest,half,20160,2,20,6
C,,5,C5,half,20160,3,20,6
A,,4,A4,half,20160,2,21,6
A,,4,A4,half,20160,3,21,6
G,,4,G4,half,20160,4,21,6
F,0,4,F4,half,20160,5,21,6
F,0,4,F4,half,20160,2,22,6
G,,4,G4,half,20160,3,22,6
A,,4,A4,whole,40320,2,23,6
Rest,,,Rest,half,20160,3,23,6
G,,4,G4,half,20160,4,23,6
G,,4,G4,whole,40320,1,24,6
B,,4,B4,half,20160,2,24,6
C,,5,C5,half,20160,3,24,6
A,,4,A4,half,20160,2,25,6
A,,4,A4,half,20160,3,25,6
G,,4,G4,quarter,10080,2,26,6
F,1,4,F[1]4,quarter,10080,3,26,6
G,,4,G4,quarter,10080,4,26,6
A,,4,A4,quarter,10080,5,26,6
B,,4,B4,half,20160,6,26,6
A,,4,A4,half,20160,7,26,6
A,,4,A4,half,20160,2,27,6
B,,4,B4,half,20160,3,27,6
C,,5,C5,half,20160,2,28,6
D,,5,D5,half,20160,3,28,6
E,,5,E5,half,20160,4,28,6
D,,5,D5,half,20160,5,28,6
D,,5,D5,half,20160,2,29,6
D,,5,D5,half,20160,3,29,6
D,,5,D5,half,20160,2,30,6
B,,4,B4,half,20160,3,30,6
C,,5,C5,half,20160,4,30,6
D,,5,D5,half,20160,5,30,6
D,,5,D5,half,20160,2,31,6
C,,5,C5,half,20160,3,31,6
C,,5,C5,half,20160,2,32,6
B,,4,B4,quarter,10080,3,32,6
A,,4,A4,quarter,10080,4,32,6
G,,4,G4,whole,40320,5,32,6
G,,4,G4,half,20160,2,33,6
