step,octave,type,duration,noteCount,measureCount,partCount
G,4,half,20160,2,1,6
D,4,half,20160,1,2,6
D,4,half,20160,2,2,6
F,4,half,20160,3,2,6
G,4,half,20160,4,2,6
B,4,whole,40320,1,3,6
A,4,whole,40320,2,3,6
D,5,whole,40320,2,4,6
C,5,whole,40320,2,5,6
B,4,half,20160,3,5,6
G,4,half,20160,4,5,6
G,4,half,20160,2,6,6
A,4,half,20160,3,6,6
C,5,half,30240,2,7,6
B,4,quarter,10080,3,7,6
A,4,quarter,10080,4,7,6
G,4,quarter,10080,5,7,6
A,4,half,20160,6,7,6
A,4,half,20160,2,8,6
Rest,,half,20160,3,8,6
Rest,,half,20160,4,8,6
A,4,half,20160,5,8,6
B,4,half,20160,6,8,6
C,5,half,20160,7,8,6
D,5,whole,40320,2,9,6
C,5,half,20160,3,9,6
D,5,half,20160,4,9,6
B,4,whole,40320,1,10,6
A,4,whole,40320,2,10,6
B,4,whole,60480,1,11,6
A,4,half,20160,2,11,6
G,4,whole,40320,1,12,6
Rest,,half,20160,2,12,6
A,4,half,20160,3,12,6
D,4,whole,40320,1,13,6
E,4,half,20160,2,13,6
F,4,half,20160,3,13,6
F,4,half,20160,2,14,6
G,4,half,20160,3,14,6
B,4,half,30240,2,15,6
A,4,quarter,10080,3,15,6
G,4,quarter,10080,4,15,6
F,4,quarter,10080,5,15,6
G,4,half,20160,6,15,6
G,4,half,20160,2,16,6
