step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
A,,4,A4,quarter,10080,2,1,6
A,,4,A4,quarter,10080,3,1,6
A,,4,A4,quarter,10080,4,1,6
B,,4,B4,half,20160,1,2,6
B,,4,B4,quarter,10080,2,2,6
B,,4,B4,quarter,10080,3,2,6
E,,5,E5,quarter,10080,1,3,6
E,,5,E5,quarter,10080,2,3,6
D,,5,D5,quarter,10080,3,3,6
C,0,5,C5,quarter,10080,4,3,6
B,,4,B4,half,20160,1,4,6
Rest,,,Rest,half,20160,2,4,6
C,0,5,C5,quarter,10080,1,5,6
C,1,5,C[1]5,quarter,10080,2,5,6
D,,5,D5,quarter,10080,3,5,6
D,,5,D5,quarter,10080,4,5,6
E,,5,E5,half,20160,1,6,6
D,,5,D5,quarter,10080,2,6,6
D,,5,D5,quarter,10080,3,6,6
E,,5,E5,quarter,10080,1,7,6
E,,5,E5,quarter,10080,2,7,6
D,,5,D5,quarter,10080,3,7,6
C,0,5,C5,quarter,10080,4,7,6
B,,4,B4,half,20160,1,8,6
Rest,,,Rest,half,20160,2,8,6
B,,4,B4,quarter,10080,1,9,6
B,,4,B4,quarter,10080,2,9,6
C,0,5,C5,quarter,10080,3,9,6
C,1,5,C[1]5,quarter,10080,4,9,6
B,,4,B4,quarter,10080,1,10,6
A,,4,A4,quarter,10080,2,10,6
B,,4,B4,half,20160,3,10,6
B,,4,B4,quarter,10080,1,11,6
B,,4,B4,quarter,10080,2,11,6
E,,4,E4,quarter,10080,3,11,6
E,,4,E4,quarter,10080,4,11,6
G,0,4,G4,quarter,10080,1,12,6
G,1,4,G[1]4,quarter,10080,2,12,6
A,,4,A4,quarter,10080,3,12,6
A,,4,A4,quarter,10080,4,12,6
B,,4,B4,half,20160,1,13,6
Rest,,,Rest,quarter,10080,2,13,6
B,,4,B4,quarter,10080,3,13,6
D,,5,D5,quarter,10080,1,14,6
A,,4,A4,quarter,10080,2,14,6
B,,4,B4,quarter,10080,3,14,6
C,0,5,C5,quarter,10080,4,14,6
E,,5,E5,quarter,10080,1,15,6
D,,5,D5,quarter,10080,2,15,6
C,0,5,C5,quarter,10080,3,15,6
C,1,5,C[1]5,quarter,10080,4,15,6
B,,4,B4,quarter,10080,1,16,6
A,,4,A4,quarter,10080,2,16,6
A,,4,A4,half,20160,3,16,6
