step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
A,,4,A4,quarter,10080,2,1,6
D,,4,D4,half,20160,1,2,6
E,,4,E4,quarter,10080,2,2,6
F,0,4,F4,half,20160,3,2,6
G,,4,G4,quarter,10080,4,2,6
A,,4,A4,half,20160,1,3,6
A,,4,A4,quarter,10080,2,3,6
G,,4,G4,half,20160,3,3,6
A,,4,A4,quarter,10080,4,3,6
B,-1,4,B[-1]4,half,20160,1,4,6
A,,4,A4,quarter,10080,2,4,6
G,,4,G4,quarter,10080,3,4,6
F,0,4,F4,quarter,10080,4,4,6
G,,4,G4,quarter,10080,5,4,6
A,,4,A4,half,30240,1,5,6
A,,4,A4,quarter,10080,2,5,6
Rest,,,Rest,quarter,10080,3,5,6
A,,4,A4,quarter,10080,4,5,6
A,,4,A4,quarter,10080,1,6,6
B,-1,4,B[-1]4,quarter,10080,2,6,6
C,0,5,C5,quarter,10080,3,6,6
C,1,5,C[1]5,quarter,10080,4,6,6
B,,4,B4,quarter,10080,5,6,6
A,,4,A4,quarter,10080,6,6,6
A,,4,A4,half,20160,1,7,6
G,,4,G4,quarter,10080,2,7,6
G,,4,G4,half,20160,3,7,6
G,,4,G4,quarter,10080,4,7,6
F,0,4,F4,quarter,10080,1,8,6
G,,4,G4,quarter,10080,2,8,6
A,,4,A4,quarter,10080,3,8,6
A,,4,A4,quarter,10080,4,8,6
G,,4,G4,quarter,10080,5,8,6
F,1,4,F[1]4,quarter,10080,6,8,6
F,0,4,F4,half,20160,1,9,6
E,,4,E4,quarter,10080,2,9,6
E,,4,E4,half,20160,3,9,6
A,,4,A4,quarter,10080,4,9,6
A,,4,A4,quarter,10080,1,10,6
G,,4,G4,quarter,10080,2,10,6
F,0,4,F4,quarter,10080,3,10,6
E,,4,E4,quarter,10080,4,10,6
D,,4,D4,quarter,10080,5,10,6
C,1,4,C[1]4,quarter,10080,6,10,6
D,,4,D4,half,30240,1,11,6
D,,4,D4,quarter,10080,2,11,6
Rest,,,Rest,quarter,10080,3,11,6
Rest,,,Rest,quarter,10080,4,11,6
