step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
A,,4,A4,half,20160,2,1,6
A,,4,A4,quarter,10080,3,1,6
A,,4,A4,quarter,10080,4,1,6
C,,5,C5,half,20160,1,2,6
B,-1,4,B[-1]4,half,20160,2,2,6
A,,4,A4,quarter,10080,1,3,6
G,,4,G4,quarter,10080,2,3,6
F,,4,F4,quarter,10080,3,3,6
B,-1,4,B[-1]4,quarter,10080,4,3,6
A,,4,A4,half,20160,1,4,6
B,-1,4,B[-1]4,half,20160,2,4,6
A,,4,A4,quarter,10080,1,5,6
G,,4,G4,quarter,10080,2,5,6
F,,4,F4,quarter,10080,3,5,6
E,,4,E4,quarter,10080,4,5,6
D,,4,D4,half,20160,1,6,6
C,,4,C4,half,20160,2,6,6
G,,4,G4,half,20160,1,7,6
G,,4,G4,half,20160,2,7,6
A,,4,A4,half,20160,1,8,6
B,-1,4,B[-1]4,half,20160,2,8,6
A,,4,A4,quarter,10080,1,9,6
G,,4,G4,quarter,10080,2,9,6
F,,4,F4,quarter,10080,3,9,6
E,,4,E4,quarter,10080,4,9,6
D,,4,D4,half,20160,1,10,6
C,,4,C4,half,20160,2,10,6
G,,4,G4,half,20160,1,11,6
A,,4,A4,half,20160,2,11,6
F,,4,F4,whole,40320,1,12,6
