step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
F,,4,F4,half,20160,2,1,6
F,,4,F4,half,20160,3,1,6
F,,4,F4,half,20160,4,1,6
C,,5,C5,half,20160,1,2,6
C,,5,C5,half,20160,2,2,6
F,,5,F5,half,20160,3,2,6
F,,5,F5,half,20160,4,2,6
E,,5,E5,whole,40320,1,3,6
Rest,,,Rest,half,20160,2,3,6
C,,5,C5,half,20160,3,3,6
B,-1,4,B[-1]4,half,20160,1,4,6
A,,4,A4,half,20160,2,4,6
G,,4,G4,half,20160,3,4,6
F,,4,F4,half,20160,4,4,6
C,,5,C5,half,20160,1,5,6
F,,5,F5,whole,40320,2,5,6
E,,5,E5,half,20160,3,5,6
D,,5,D5,whole,40320,1,6,6
C,,5,C5,whole,40320,2,6,6
Rest,,,Rest,half,20160,1,7,6
C,,5,C5,half,20160,2,7,6
C,,5,C5,half,20160,3,7,6
C,,5,C5,half,20160,4,7,6
A,,4,A4,half,20160,1,8,6
A,,4,A4,half,20160,2,8,6
D,,5,D5,half,20160,3,8,6
D,,5,D5,half,20160,4,8,6
C,,5,C5,whole,40320,1,9,6
Rest,,,Rest,half,20160,2,9,6
C,,5,C5,half,20160,3,9,6
D,,5,D5,half,20160,1,10,6
C,,5,C5,half,20160,2,10,6
A,,4,A4,half,20160,3,10,6
G,,4,G4,half,20160,4,10,6
F,,4,F4,half,20160,1,11,6
B,-1,4,B[-1]4,whole,40320,2,11,6
A,,4,A4,half,20160,3,11,6
G,,4,G4,whole,40320,1,12,6
F,,4,F4,whole,40320,2,12,6
Rest,,,Rest,half,20160,1,13,6
Rest,,,Rest,whole,60480,2,13,6
