step,octave,type,duration,noteCount,measureCount,partCount
A,4,breve,80640,2,1,6
B,4,whole,40320,1,2,6
A,4,whole,40320,2,2,6
B,4,whole,40320,3,2,6
D,5,whole,40320,4,2,6
C,5,whole,40320,1,3,6
B,4,whole,40320,2,3,6
A,4,whole,40320,3,3,6
A,4,whole,40320,4,3,6
D,5,whole,40320,1,4,6
D,5,whole,40320,2,4,6
C,5,whole,40320,3,4,6
A,4,whole,40320,4,4,6
B,4,whole,40320,1,5,6
G,4,whole,40320,2,5,6
F,4,breve,80640,3,5,6
C,5,breve,80640,1,6,6
Rest,,whole,40320,2,6,6
A,4,whole,40320,3,6,6
C,5,whole,40320,1,7,6
B,4,half,20160,2,7,6
A,4,whole,40320,3,7,6
G,4,half,20160,4,7,6
Rest,,whole,40320,5,7,6
F,4,half,20160,1,8,6
E,4,half,20160,2,8,6
D,4,whole,40320,3,8,6
Rest,,breve,80640,4,8,6
C,4,breve,80640,1,9,6
Rest,,whole,40320,2,9,6
C,5,whole,40320,3,9,6
A,4,whole,40320,1,10,6
A,4,whole,40320,2,10,6
B,4,whole,40320,3,10,6
C,5,whole,40320,4,10,6
D,5,breve,80640,1,11,6
A,4,breve,80640,2,11,6
Rest,,whole,40320,1,12,6
D,5,whole,40320,2,12,6
C,5,whole,40320,3,12,6
B,4,whole,40320,4,12,6
A,4,whole,40320,1,13,6
G,4,whole,40320,2,13,6
F,4,half,20160,3,13,6
D,4,half,20160,4,13,6
E,4,whole,40320,5,13,6
D,4,breve,80640,1,14,6
Rest,,breve,80640,2,14,6
