step,octave,type,duration,noteCount,measureCount,partCount
G,4,half,20160,2,1,6
G,4,half,20160,3,1,6
G,4,half,20160,4,1,6
D,5,half,20160,1,2,6
D,5,half,20160,2,2,6
C,5,half,20160,3,2,6
C,5,half,20160,4,2,6
D,5,whole,40320,1,3,6
Rest,,half,20160,2,3,6
D,5,half,20160,3,3,6
G,4,half,20160,1,4,6
A,4,half,20160,2,4,6
B,4,half,20160,3,4,6
C,5,half,20160,4,4,6
A,4,whole,40320,1,5,6
A,4,whole,40320,2,5,6
Rest,,half,20160,1,6,6
G,4,half,20160,2,6,6
G,4,half,20160,3,6,6
G,4,half,20160,4,6,6
D,5,half,20160,1,7,6
D,5,half,20160,2,7,6
C,5,half,20160,3,7,6
C,5,half,20160,4,7,6
D,5,whole,40320,1,8,6
Rest,,half,20160,2,8,6
D,5,half,20160,3,8,6
G,4,half,20160,1,9,6
A,4,half,20160,2,9,6
B,4,half,20160,3,9,6
C,5,half,20160,4,9,6
A,4,whole,40320,1,10,6
A,4,whole,40320,2,10,6
Rest,,half,20160,1,11,6
A,4,half,20160,2,11,6
F,4,half,20160,3,11,6
G,4,half,20160,4,11,6
A,4,half,20160,1,12,6
B,4,half,20160,2,12,6
C,5,half,20160,3,12,6
A,4,half,20160,4,12,6
G,4,half,20160,1,13,6
G,4,half,20160,2,13,6
A,4,half,20160,3,13,6
A,4,half,20160,4,13,6
F,4,half,20160,1,14,6
F,4,half,20160,2,14,6
G,4,whole,40320,3,14,6
D,4,whole,40320,1,15,6
Rest,,half,20160,2,15,6
D,4,half,20160,3,15,6
F,4,half,20160,1,16,6
G,4,half,20160,2,16,6
A,4,half,20160,3,16,6
B,4,half,20160,4,16,6
C,5,half,20160,1,17,6
A,4,half,20160,2,17,6
G,4,half,20160,3,17,6
G,4,half,20160,4,17,6
B,4,half,20160,1,18,6
C,5,half,20160,2,18,6
D,5,half,20160,3,18,6
C,5,half,20160,4,18,6
A,4,whole,40320,1,19,6
C,5,half,20160,2,19,6
B,4,half,20160,3,19,6
G,4,whole,40320,1,20,6
B,4,half,20160,2,20,6
A,4,half,20160,3,20,6
F,4,whole,40320,1,21,6
G,4,whole,40320,2,21,6
Rest,,half,20160,1,22,6
Rest,,whole,60480,2,22,6
