step,octave,type,duration,noteCount,measureCount,partCount
E,4,half,20160,2,1,6
A,4,half,20160,1,2,6
A,4,half,20160,2,2,6
B,4,half,20160,3,2,6
A,4,quarter,10080,4,2,6
B,4,quarter,10080,5,2,6
C,5,half,20160,1,3,6
B,4,quarter,10080,2,3,6
A,4,quarter,10080,3,3,6
B,4,half,20160,4,3,6
D,5,half,20160,5,3,6
C,5,half,20160,1,4,6
A,4,half,20160,2,4,6
G,4,half,20160,3,4,6
F,4,quarter,10080,4,4,6
G,4,quarter,10080,5,4,6
A,4,whole,40320,1,5,6
Rest,,half,20160,2,5,6
E,4,half,20160,3,5,6
A,4,half,20160,1,6,6
A,4,half,20160,2,6,6
B,4,half,20160,3,6,6
A,4,quarter,10080,4,6,6
B,4,quarter,10080,5,6,6
C,5,half,20160,1,7,6
B,4,quarter,10080,2,7,6
A,4,quarter,10080,3,7,6
B,4,half,20160,4,7,6
D,5,half,20160,5,7,6
C,5,half,20160,1,8,6
A,4,half,20160,2,8,6
G,4,half,20160,3,8,6
F,4,quarter,10080,4,8,6
G,4,quarter,10080,5,8,6
A,4,whole,40320,1,9,6
Rest,,half,20160,2,9,6
A,4,half,20160,3,9,6
D,5,half,20160,1,10,6
C,5,half,20160,2,10,6
B,4,half,20160,3,10,6
A,4,quarter,10080,4,10,6
B,4,quarter,10080,5,10,6
C,5,half,20160,1,11,6
B,4,quarter,10080,2,11,6
A,4,quarter,10080,3,11,6
B,4,half,20160,4,11,6
C,5,half,20160,5,11,6
D,5,half,20160,1,12,6
C,5,half,20160,2,12,6
B,4,half,20160,3,12,6
A,4,quarter,10080,4,12,6
B,4,quarter,10080,5,12,6
C,5,half,20160,1,13,6
B,4,quarter,10080,2,13,6
A,4,quarter,10080,3,13,6
B,4,half,20160,4,13,6
Rest,,half,20160,5,13,6
C,5,half,20160,1,14,6
A,4,half,20160,2,14,6
A,4,half,20160,3,14,6
G,4,half,20160,4,14,6
A,4,whole,40320,1,15,6
Rest,,half,20160,2,15,6
Rest,,half,20160,3,15,6
