step,octave,type,duration,noteCount,measureCount,partCount
D,4,half,20160,2,1,6
F,4,half,20160,1,2,6
F,4,half,20160,2,2,6
G,4,half,20160,3,2,6
A,4,half,20160,2,3,6
B,4,half,20160,2,4,6
A,4,half,20160,3,4,6
F,4,half,20160,4,4,6
F,4,half,20160,2,5,6
G,4,whole,40320,2,6,6
A,4,half,20160,3,6,6
A,4,half,20160,2,7,6
Rest,,half,20160,3,7,6
A,4,half,20160,4,7,6
A,4,half,20160,5,7,6
A,4,half,20160,6,7,6
A,4,whole,40320,2,8,6
G,4,half,20160,3,8,6
F,4,half,20160,1,9,6
E,4,whole,40320,2,9,6
D,4,whole,40320,1,10,6
Rest,,half,20160,2,10,6
A,4,half,20160,2,11,6
A,4,half,20160,2,12,6
A,4,half,20160,3,12,6
G,4,half,20160,4,12,6
F,4,half,20160,2,13,6
D,4,whole,40320,2,14,6
C,4,half,20160,3,14,6
C,4,half,20160,2,15,6
Rest,,half,20160,3,15,6
C,4,half,20160,4,15,6
D,4,half,20160,5,15,6
E,4,half,20160,6,15,6
F,4,half,20160,2,16,6
G,4,whole,40320,3,16,6
F,4,half,20160,1,17,6
E,4,whole,40320,2,17,6
D,4,whole,60480,1,18,6
Rest,,whole,40320,1,19,6
D,4,half,20160,2,19,6
F,4,whole,40320,1,20,6
G,4,half,20160,2,20,6
A,4,whole,40320,1,21,6
A,4,half,20160,2,21,6
B,4,whole,40320,1,22,6
A,4,half,20160,2,22,6
G,4,half,30240,1,23,6
A,4,quarter,10080,2,23,6
B,4,quarter,10080,3,23,6
A,4,quarter,10080,4,23,6
G,4,half,30240,1,24,6
F,4,quarter,10080,2,24,6
E,4,quarter,10080,3,24,6
D,4,quarter,10080,4,24,6
C,4,whole,40320,1,25,6
Rest,,half,20160,2,25,6
Rest,,whole,40320,1,26,6
G,4,half,20160,2,26,6
A,4,half,20160,1,27,6
G,4,half,20160,2,27,6
F,4,half,20160,3,27,6
D,4,half,20160,1,28,6
E,4,whole,40320,2,28,6
F,4,half,30240,1,29,6
E,4,quarter,10080,2,29,6
D,4,quarter,10080,3,29,6
C,4,quarter,10080,4,29,6
D,4,whole,40320,1,30,6
Rest,,half,20160,2,30,6
