step,octave,type,duration,noteCount,measureCount,partCount
A,4,half,20160,2,1,6
B,4,half,20160,1,2,6
B,4,half,20160,2,2,6
C,5,half,20160,3,2,6
C,5,half,20160,4,2,6
D,5,half,20160,1,3,6
D,5,half,20160,2,3,6
A,4,half,20160,3,3,6
A,4,half,20160,4,3,6
D,5,half,20160,1,4,6
D,5,half,20160,2,4,6
D,5,half,20160,3,4,6
A,4,half,20160,4,4,6
D,5,whole,40320,1,5,6
C,5,half,20160,2,5,6
A,4,half,20160,3,5,6
B,4,half,20160,1,6,6
B,4,half,20160,2,6,6
A,4,half,20160,3,6,6
A,4,half,20160,4,6,6
G,4,half,20160,1,7,6
G,4,half,20160,2,7,6
D,4,half,20160,3,7,6
D,4,half,20160,4,7,6
F,4,half,30240,1,8,6
G,4,quarter,10080,2,8,6
A,4,half,20160,3,8,6
B,4,half,20160,4,8,6
C,5,half,30240,1,9,6
B,4,quarter,10080,2,9,6
A,4,quarter,10080,3,9,6
G,4,quarter,10080,4,9,6
C,5,half,20160,5,9,6
C,5,half,20160,1,10,6
B,4,quarter,10080,2,10,6
A,4,quarter,10080,3,10,6
G,4,whole,40320,4,10,6
F,4,breve,80640,1,11,6
A,4,half,30240,1,12,6
B,4,quarter,10080,2,12,6
C,5,half,20160,3,12,6
C,5,half,20160,4,12,6
G,4,half,20160,1,13,6
F,4,half,20160,2,13,6
D,4,half,20160,3,13,6
E,4,half,20160,4,13,6
D,4,whole,60480,1,14,6
Rest,,half,20160,2,14,6
