step,octave,type,duration,noteCount,measureCount,partCount
D,4,half,20160,2,1,6
D,4,half,20160,3,1,6
D,4,half,20160,4,1,6
A,4,whole,40320,1,2,6
A,4,half,20160,2,2,6
C,5,whole,40320,3,2,6
A,4,half,20160,4,2,6
F,4,whole,40320,1,3,6
Rest,,half,20160,2,3,6
A,4,half,20160,3,3,6
A,4,half,20160,4,3,6
A,4,half,20160,5,3,6
B,4,half,20160,1,4,6
A,4,half,20160,2,4,6
F,4,whole,40320,3,4,6
G,4,whole,40320,4,4,6
F,4,whole,40320,1,5,6
Rest,,half,20160,2,5,6
F,4,half,20160,3,5,6
F,4,half,20160,4,5,6
A,4,half,20160,5,5,6
G,4,quarter,10080,1,6,6
F,4,quarter,10080,2,6,6
G,4,quarter,10080,3,6,6
A,4,quarter,10080,4,6,6
G,4,half,20160,5,6,6
F,4,half,20160,6,6,6
E,4,half,20160,7,6,6
D,4,half,20160,8,6,6
C,4,whole,40320,1,7,6
Rest,,half,20160,2,7,6
C,4,half,20160,3,7,6
D,4,half,20160,4,7,6
E,4,half,20160,5,7,6
F,4,half,20160,1,8,6
D,4,half,20160,2,8,6
A,4,half,30240,3,8,6
G,4,quarter,10080,4,8,6
F,4,half,20160,5,8,6
E,4,quarter,10080,6,8,6
D,4,quarter,10080,7,8,6
E,4,half,20160,1,9,6
D,4,whole,40320,2,9,6
Rest,,whole,60480,3,9,6
