step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
D,,5,D5,quarter,10080,2,1,6
D,,5,D5,quarter,10080,1,2,6
D,,5,D5,quarter,10080,2,2,6
D,,5,D5,quarter,10080,3,2,6
D,,5,D5,quarter,10080,1,3,6
E,,5,E5,quarter,10080,2,3,6
F,1,5,F[1]5,quarter,10080,3,3,6
G,,5,G5,half,20160,1,4,6
F,1,5,F[1]5,quarter,10080,2,4,6
E,,5,E5,half,20160,1,5,6
D,,5,D5,quarter,10080,2,5,6
D,,5,D5,quarter,15120,1,6,6
C,,5,C5,eighth,5040,2,6,6
B,,4,B4,eighth,5040,3,6,6
A,,4,A4,eighth,5040,4,6,6
G,,4,G4,half,20160,1,7,6
D,,5,D5,quarter,10080,2,7,6
D,,5,D5,quarter,10080,1,8,6
D,,5,D5,quarter,10080,2,8,6
D,,5,D5,quarter,10080,3,8,6
D,,5,D5,quarter,10080,1,9,6
E,,5,E5,quarter,10080,2,9,6
F,1,5,F[1]5,quarter,10080,3,9,6
G,,5,G5,half,20160,1,10,6
F,1,5,F[1]5,quarter,10080,2,10,6
E,,5,E5,half,20160,1,11,6
D,,5,D5,quarter,10080,2,11,6
D,,5,D5,quarter,15120,1,12,6
C,,5,C5,eighth,5040,2,12,6
B,,4,B4,eighth,5040,3,12,6
A,,4,A4,eighth,5040,4,12,6
G,,4,G4,half,20160,1,13,6
Rest,,,Rest,quarter,10080,2,13,6
A,,4,A4,quarter,10080,1,14,6
A,,4,A4,quarter,10080,2,14,6
A,,4,A4,quarter,10080,3,14,6
A,,4,A4,quarter,10080,1,15,6
B,,4,B4,quarter,10080,2,15,6
C,,5,C5,quarter,10080,3,15,6
D,,5,D5,quarter,15120,1,16,6
C,,5,C5,eighth,5040,2,16,6
B,,4,B4,quarter,10080,3,16,6
A,,4,A4,half,20160,1,17,6
B,,4,B4,quarter,10080,2,17,6
A,,4,A4,quarter,15120,1,18,6
G,,4,G4,eighth,5040,2,18,6
F,1,4,F[1]4,quarter,10080,3,18,6
G,,4,G4,half,20160,1,19,6
B,,4,B4,quarter,10080,2,19,6
A,,4,A4,quarter,15120,1,20,6
G,,4,G4,eighth,5040,2,20,6
F,1,4,F[1]4,quarter,10080,3,20,6
G,,4,G4,half,20160,1,21,6
Rest,,,Rest,quarter,10080,2,21,6
