step,octave,type,duration,noteCount,measureCount,partCount
C,4,half,20160,2,1,6
C,4,half,20160,1,2,6
C,4,half,20160,2,2,6
C,4,half,20160,3,2,6
C,4,half,20160,4,2,6
B,3,whole,40320,1,3,6
G,3,whole,40320,2,3,6
D,4,whole,40320,2,4,6
E,4,whole,40320,2,5,6
D,4,half,20160,3,5,6
C,4,half,20160,4,5,6
C,4,half,20160,2,6,6
B,3,quarter,10080,3,6,6
A,3,quarter,10080,4,6,6
B,3,half,20160,2,7,6
C,4,half,20160,3,7,6
A,3,whole,40320,4,7,6
G,3,whole,60480,1,8,6
C,4,half,20160,2,8,6
C,4,half,20160,1,9,6
C,4,half,20160,2,9,6
C,4,half,20160,3,9,6
C,4,half,20160,4,9,6
B,3,whole,40320,1,10,6
G,3,whole,40320,2,10,6
D,4,whole,40320,2,11,6
E,4,whole,40320,2,12,6
D,4,half,20160,3,12,6
C,4,half,20160,4,12,6
C,4,half,20160,2,13,6
B,3,quarter,10080,3,13,6
A,3,quarter,10080,4,13,6
B,3,half,20160,2,14,6
C,4,half,20160,3,14,6
A,3,whole,40320,4,14,6
G,3,whole,60480,1,15,6
G,4,half,20160,2,15,6
F,4,half,20160,1,16,6
E,4,half,20160,2,16,6
D,4,half,20160,3,16,6
C,4,half,20160,4,16,6
F,4,whole,60480,1,17,6
E,4,quarter,10080,2,17,6
D,4,quarter,10080,3,17,6
E,4,whole,40320,1,18,6
D,4,whole,40320,2,18,6
Rest,,half,20160,2,19,6
D,4,half,20160,3,19,6
G,4,whole,40320,2,20,6
F,4,half,20160,3,20,6
E,4,half,20160,4,20,6
F,4,quarter,10080,1,21,6
D,4,quarter,10080,2,21,6
D,4,whole,40320,3,21,6
C,4,half,20160,4,21,6
D,4,whole,40320,1,22,6
Rest,,half,20160,2,22,6
G,3,half,20160,3,22,6
C,4,half,20160,1,23,6
D,4,half,20160,2,23,6
E,4,half,20160,3,23,6
F,4,half,20160,4,23,6
G,4,whole,40320,1,24,6
D,4,whole,40320,2,24,6
F,4,whole,40320,2,25,6
E,4,whole,40320,2,26,6
D,4,half,20160,3,26,6
G,4,half,20160,4,26,6
G,4,half,20160,2,27,6
F,4,quarter,10080,3,27,6
E,4,quarter,10080,4,27,6
F,4,half,20160,2,28,6
E,4,half,20160,3,28,6
D,4,whole,40320,4,28,6
C,4,whole,60480,1,29,6
Rest,,half,20160,2,29,6
