step,octave,type,duration,noteCount,measureCount,partCount
D,4,half,20160,2,1,6
D,4,half,30240,1,2,6
C,4,quarter,10080,2,2,6
D,4,quarter,10080,3,2,6
C,4,quarter,10080,4,2,6
D,4,quarter,10080,5,2,6
E,4,quarter,10080,6,2,6
F,4,whole,40320,1,3,6
E,4,half,20160,2,3,6
E,4,half,20160,3,3,6
D,4,half,20160,1,4,6
E,4,half,20160,2,4,6
D,4,half,20160,3,4,6
C,4,half,20160,4,4,6
B,3,whole,40320,1,5,6
Rest,,half,20160,2,5,6
D,4,quarter,10080,3,5,6
D,4,quarter,10080,4,5,6
A,3,half,20160,1,6,6
B,3,half,20160,2,6,6
C,4,half,20160,3,6,6
D,4,half,20160,4,6,6
E,4,half,20160,1,7,6
D,4,quarter,10080,2,7,6
C,4,quarter,10080,3,7,6
B,3,half,20160,4,7,6
E,4,half,20160,5,7,6
E,4,quarter,10080,1,8,6
D,4,quarter,10080,2,8,6
E,4,quarter,10080,3,8,6
F,4,quarter,10080,4,8,6
A,4,half,20160,5,8,6
G,4,half,20160,6,8,6
F,4,half,20160,1,9,6
E,4,quarter,10080,2,9,6
D,4,quarter,10080,3,9,6
C,4,half,20160,4,9,6
D,4,half,20160,5,9,6
E,4,half,20160,1,10,6
D,4,half,20160,2,10,6
C,4,quarter,10080,3,10,6
B,3,quarter,10080,4,10,6
D,4,quarter,10080,5,10,6
C,4,quarter,10080,6,10,6
D,4,whole,60480,1,11,6
Rest,,half,20160,2,11,6
