step,octave,type,duration,noteCount,measureCount,partCount
G,4,whole,40320,2,1,6
G,4,breve,80640,1,2,6
B,4,whole,40320,2,2,6
A,4,breve,80640,1,3,6
G,4,whole,40320,2,3,6
A,4,whole,60480,1,4,6
B,4,half,20160,2,4,6
C,5,whole,40320,3,4,6
D,5,breve,80640,1,5,6
D,5,whole,40320,2,5,6
C,5,breve,80640,1,6,6
A,4,whole,40320,2,6,6
B,4,whole,40320,1,7,6
G,4,breve,80640,2,7,6
F,4,breve,120960,1,8,6
Rest,,breve,80640,1,9,6
F,4,whole,40320,2,9,6
A,4,breve,80640,1,10,6
B,4,whole,40320,2,10,6
C,5,breve,80640,1,11,6
B,4,whole,40320,2,11,6
G,4,whole,60480,1,12,6
A,4,half,20160,2,12,6
B,4,whole,40320,3,12,6
A,4,breve,80640,1,13,6
G,4,whole,40320,2,13,6
F,4,whole,40320,1,14,6
D,4,breve,80640,2,14,6
G,4,breve,80640,1,15,6
F,4,whole,40320,2,15,6
G,4,breve,80640,1,16,6
Rest,,whole,40320,2,16,6
