step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
C,,5,C5,half,20160,2,1,6
C,,5,C5,whole,40320,1,2,6
C,,5,C5,whole,40320,2,2,6
B,-1,4,B[-1]4,half,20160,2,3,6
A,,4,A4,half,20160,3,3,6
F,,4,F4,whole,40320,2,4,6
G,,4,G4,half,20160,3,4,6
F,,4,F4,half,20160,4,4,6
F,,4,F4,half,20160,2,5,6
F,,4,F4,half,20160,3,5,6
C,,5,C5,whole,40320,2,6,6
C,,5,C5,whole,40320,3,6,6
B,-1,4,B[-1]4,half,20160,2,7,6
A,,4,A4,half,20160,3,7,6
G,,4,G4,half,30240,2,8,6
A,,4,A4,quarter,10080,3,8,6
B,-1,4,B[-1]4,half,20160,4,8,6
A,,4,A4,half,20160,5,8,6
A,,4,A4,half,20160,2,9,6
G,,4,G4,half,20160,3,9,6
F,,4,F4,half,20160,2,10,6
F,,4,F4,half,20160,3,10,6
E,,4,E4,half,20160,4,10,6
C,,4,C4,half,20160,5,10,6
D,,4,D4,whole,40320,1,11,6
E,,4,E4,half,20160,2,11,6
F,,4,F4,half,20160,3,11,6
F,,4,F4,half,20160,2,12,6
A,,4,A4,half,20160,3,12,6
G,,4,G4,half,20160,2,13,6
G,,4,G4,half,20160,3,13,6
F,,4,F4,half,20160,4,13,6
E,,4,E4,half,20160,5,13,6
D,,4,D4,whole,40320,1,14,6
C,,4,C4,whole,40320,2,14,6
Rest,,,Rest,half,20160,2,15,6
C,,5,C5,half,20160,3,15,6
C,,5,C5,half,20160,2,16,6
C,,5,C5,half,20160,3,16,6
B,-1,4,B[-1]4,half,20160,4,16,6
A,,4,A4,half,20160,5,16,6
G,,4,G4,whole,40320,1,17,6
F,,4,F4,whole,40320,2,17,6
F,,4,F4,half,20160,2,18,6
