step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
C,,4,C4,half,20160,2,1,6
C,,4,C4,half,20160,1,2,6
C,,4,C4,half,20160,2,2,6
E,,4,E4,half,20160,3,2,6
C,,4,C4,half,20160,4,2,6
G,,4,G4,whole,40320,1,3,6
G,,4,G4,whole,40320,2,3,6
C,,5,C5,whole,40320,2,4,6
B,,4,B4,whole,40320,2,5,6
G,,4,G4,half,20160,3,5,6
A,,4,A4,half,20160,4,5,6
A,,4,A4,half,20160,2,6,6
G,,4,G4,half,20160,3,6,6
E,,4,E4,whole,40320,2,7,6
Rest,,,Rest,half,20160,3,7,6
C,,4,C4,half,20160,4,7,6
G,,4,G4,half,20160,1,8,6
A,,4,A4,half,20160,2,8,6
B,,4,B4,half,20160,3,8,6
G,,4,G4,half,20160,4,8,6
C,,5,C5,whole,40320,1,9,6
B,,4,B4,whole,40320,2,9,6
A,,4,A4,whole,40320,2,10,6
G,,4,G4,whole,40320,2,11,6
E,,4,E4,half,20160,3,11,6
F,,4,F4,half,20160,4,11,6
F,,4,F4,half,20160,2,12,6
D,,4,D4,half,20160,3,12,6
C,,4,C4,whole,40320,2,13,6
Rest,,,Rest,half,20160,3,13,6
C,,4,C4,half,20160,4,13,6
G,,4,G4,half,20160,1,14,6
G,,4,G4,half,20160,2,14,6
F,,4,F4,half,20160,3,14,6
E,,4,E4,half,20160,4,14,6
F,,4,F4,whole,40320,1,15,6
E,,4,E4,whole,40320,2,15,6
C,,4,C4,whole,40320,2,16,6
E,,4,E4,whole,40320,2,17,6
A,,4,A4,half,20160,3,17,6
G,,4,G4,half,20160,4,17,6
G,,4,G4,half,20160,2,18,6
F,,4,F4,half,20160,3,18,6
D,,4,D4,whole,40320,2,19,6
A,,4,A4,whole,40320,3,19,6
G,,4,G4,half,20160,1,20,6
G,,4,G4,half,20160,2,20,6
F,,4,F4,half,20160,3,20,6
E,,4,E4,half,20160,4,20,6
C,,4,C4,whole,40320,1,21,6
D,,4,D4,whole,40320,2,21,6
A,,4,A4,whole,40320,2,22,6
G,,4,G4,whole,40320,2,23,6
E,,4,E4,half,20160,3,23,6
F,,4,F4,half,20160,4,23,6
F,,4,F4,half,20160,2,24,6
D,,4,D4,half,20160,3,24,6
C,,4,C4,whole,60480,2,25,6
Rest,,,Rest,half,20160,3,25,6
