step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
A,,4,A4,half,20160,2,1,6
A,,4,A4,half,20160,3,1,6
A,,4,A4,half,20160,4,1,6
A,,4,A4,half,20160,1,2,6
B,,4,B4,half,20160,2,2,6
C,0,5,C5,half,20160,3,2,6
A,,4,A4,half,20160,4,2,6
A,,4,A4,whole,40320,5,2,6
Rest,,,Rest,half,20160,1,3,6
C,0,5,C5,half,20160,2,3,6
C,1,5,C[1]5,half,20160,3,3,6
C,1,5,C[1]5,half,20160,4,3,6
B,,4,B4,whole,40320,1,4,6
A,,4,A4,half,20160,2,4,6
B,,4,B4,half,20160,3,4,6
A,,4,A4,half,20160,4,4,6
A,,4,A4,whole,40320,5,4,6
A,,4,A4,whole,40320,6,4,6
B,,4,B4,whole,40320,7,4,6
A,,4,A4,half,20160,8,4,6
G,0,4,G4,half,20160,9,4,6
F,0,4,F4,half,20160,10,4,6
E,,4,E4,half,20160,11,4,6
E,,4,E4,whole,40320,12,4,6
Rest,,,Rest,half,20160,1,5,6
A,,4,A4,half,20160,2,5,6
A,,4,A4,half,20160,3,5,6
A,,4,A4,half,20160,4,5,6
A,,4,A4,half,20160,1,6,6
B,,4,B4,half,20160,2,6,6
C,0,5,C5,half,20160,3,6,6
A,,4,A4,half,20160,4,6,6
A,,4,A4,whole,40320,1,7,6
Rest,,,Rest,half,20160,1,8,6
C,0,5,C5,half,20160,2,8,6
C,1,5,C[1]5,half,20160,3,8,6
C,1,5,C[1]5,half,20160,4,8,6
B,,4,B4,whole,40320,1,9,6
A,,4,A4,half,20160,2,9,6
B,,4,B4,half,20160,3,9,6
A,,4,A4,half,20160,4,9,6
A,,4,A4,whole,40320,5,9,6
A,,4,A4,whole,40320,6,9,6
B,,4,B4,whole,40320,7,9,6
A,,4,A4,half,20160,1,10,6
G,0,4,G4,half,20160,2,10,6
F,0,4,F4,half,20160,3,10,6
E,,4,E4,half,20160,4,10,6
E,,4,E4,whole,40320,5,10,6
Rest,,,Rest,half,20160,1,11,6
E,,4,E4,half,20160,2,11,6
E,,4,E4,half,20160,3,11,6
E,,4,E4,half,20160,4,11,6
G,0,4,G4,half,20160,1,12,6
G,1,4,G[1]4,half,20160,2,12,6
A,,4,A4,half,20160,3,12,6
A,,4,A4,half,20160,4,12,6
A,,4,A4,whole,40320,1,13,6
A,,4,A4,half,20160,2,13,6
A,,4,A4,half,20160,3,13,6
A,,4,A4,half,20160,4,13,6
G,0,4,G4,half,20160,1,14,6
F,0,4,F4,half,20160,2,14,6
E,,4,E4,half,20160,3,14,6
C,0,4,C4,half,20160,4,14,6
Rest,,,Rest,half,20160,1,15,6
C,0,4,C4,half,20160,2,15,6
G,0,4,G4,half,20160,3,15,6
G,1,4,G[1]4,half,20160,4,15,6
G,0,4,G4,half,20160,1,16,6
G,1,4,G[1]4,half,20160,2,16,6
A,,4,A4,half,20160,3,16,6
A,,4,A4,half,20160,4,16,6
A,,4,A4,whole,40320,1,17,6
A,,4,A4,half,20160,2,17,6
A,,4,A4,half,20160,3,17,6
A,,4,A4,half,20160,4,17,6
G,0,4,G4,half,20160,5,17,6
F,0,4,F4,half,20160,1,18,6
E,,4,E4,half,20160,2,18,6
E,,4,E4,whole,40320,3,18,6
Rest,,,Rest,half,20160,1,19,6
E,,4,E4,half,20160,2,19,6
E,,4,E4,half,20160,3,19,6
E,,4,E4,half,20160,4,19,6
G,0,4,G4,half,20160,1,20,6
G,1,4,G[1]4,half,20160,2,20,6
E,,4,E4,half,20160,3,20,6
D,0,4,D4,half,20160,4,20,6
C,0,4,C4,whole,40320,1,21,6
Rest,,,Rest,half,20160,1,22,6
C,0,4,C4,half,20160,2,22,6
G,0,4,G4,half,20160,3,22,6
G,1,4,G[1]4,half,20160,4,22,6
A,,4,A4,half,20160,1,23,6
B,,4,B4,half,20160,2,23,6
C,0,5,C5,whole,40320,3,23,6
B,,4,B4,half,20160,4,23,6
A,,4,A4,whole,40320,5,23,6
G,0,4,G4,quarter,10080,6,23,6
F,0,4,F4,quarter,10080,7,23,6
E,,4,E4,whole,40320,8,23,6
A,,4,A4,half,20160,9,23,6
B,,4,B4,whole,40320,1,24,6
A,,4,A4,half,20160,2,24,6
G,0,4,G4,whole,40320,1,25,6
F,0,4,F4,half,20160,2,25,6
E,,4,E4,whole,40320,1,26,6
C,0,4,C4,half,20160,2,26,6
D,0,4,D4,whole,40320,1,27,6
E,,4,E4,breve,80640,2,27,6
