step,octave,type,duration,noteCount,measureCount,partCount
G,4,whole,40320,2,1,6
B,4,half,20160,1,2,6
B,4,half,20160,2,2,6
C,5,half,20160,3,2,6
C,5,half,20160,4,2,6
D,5,whole,40320,1,3,6
G,4,whole,40320,2,3,6
D,5,whole,40320,2,4,6
C,5,half,30240,2,5,6
D,5,quarter,10080,3,5,6
E,5,half,20160,4,5,6
F,5,half,20160,5,5,6
F,5,half,20160,2,6,6
E,5,half,20160,3,6,6
F,5,half,30240,2,7,6
E,5,quarter,10080,3,7,6
D,5,half,20160,4,7,6
C,5,quarter,10080,5,7,6
B,4,quarter,10080,6,7,6
C,5,breve,80640,1,8,6
Rest,,whole,40320,1,9,6
F,5,whole,40320,2,9,6
F,5,half,20160,1,10,6
D,5,half,20160,2,10,6
F,5,half,20160,3,10,6
G,5,half,20160,4,10,6
F,5,half,20160,1,11,6
E,5,half,20160,2,11,6
D,5,whole,40320,3,11,6
F,5,whole,40320,2,12,6
E,5,half,20160,2,13,6
D,5,half,20160,3,13,6
D,5,half,20160,4,13,6
B,4,half,20160,5,13,6
C,5,whole,60480,1,14,6
D,5,half,20160,2,14,6
D,5,half,30240,1,15,6
C,5,quarter,10080,2,15,6
B,4,half,20160,3,15,6
A,4,quarter,10080,4,15,6
G,4,quarter,10080,5,15,6
A,4,breve,80640,1,16,6
Rest,,whole,40320,1,17,6
A,4,whole,40320,2,17,6
A,4,half,20160,1,18,6
A,4,half,20160,2,18,6
D,5,half,20160,3,18,6
C,5,half,20160,4,18,6
B,4,half,20160,1,19,6
A,4,quarter,10080,2,19,6
G,4,quarter,10080,3,19,6
A,4,half,20160,4,19,6
A,4,half,20160,5,19,6
B,4,whole,40320,1,20,6
Rest,,half,20160,2,20,6
F,5,half,20160,3,20,6
F,5,half,20160,1,21,6
D,5,half,20160,2,21,6
E,5,half,20160,3,21,6
G,5,half,20160,4,21,6
F,5,half,20160,1,22,6
E,5,half,20160,2,22,6
D,5,whole,40320,3,22,6
F,5,whole,40320,1,23,6
E,5,half,20160,2,23,6
D,5,half,20160,3,23,6
D,5,half,20160,1,24,6
B,4,half,20160,2,24,6
C,5,whole,40320,3,24,6
D,5,whole,60480,1,25,6
C,5,quarter,10080,2,25,6
B,4,quarter,10080,3,25,6
B,4,half,20160,1,26,6
A,4,quarter,10080,2,26,6
G,4,quarter,10080,3,26,6
A,4,whole,40320,4,26,6
G,4,whole,40320,1,27,6
Rest,,whole,40320,2,27,6
