step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
D,,4,D4,half,20160,2,1,6
F,,4,F4,half,20160,1,2,6
F,,4,F4,half,20160,2,2,6
G,,4,G4,half,20160,3,2,6
G,,4,G4,half,20160,4,2,6
A,,4,A4,half,20160,1,3,6
A,,4,A4,half,20160,2,3,6
A,,4,A4,half,20160,3,3,6
A,,4,A4,half,20160,4,3,6
G,,4,G4,half,20160,1,4,6
A,,4,A4,half,20160,2,4,6
B,-1,4,B[-1]4,half,20160,3,4,6
B,-1,4,B[-1]4,half,20160,4,4,6
A,,4,A4,half,20160,1,5,6
A,,4,A4,half,20160,2,5,6
G,,4,G4,half,20160,3,5,6
G,,4,G4,half,20160,4,5,6
A,,4,A4,half,20160,1,6,6
A,,4,A4,half,20160,2,6,6
F,,4,F4,half,20160,3,6,6
F,,4,F4,half,20160,4,6,6
E,,4,E4,half,20160,1,7,6
D,,4,D4,half,20160,2,7,6
C,,4,C4,whole,40320,3,7,6
E,,4,E4,half,20160,1,8,6
F,,4,F4,half,20160,2,8,6
E,,4,E4,half,20160,3,8,6
D,,4,D4,half,20160,4,8,6
G,,4,G4,half,20160,1,9,6
A,,4,A4,half,20160,2,9,6
B,-1,4,B[-1]4,half,20160,3,9,6
B,-1,4,B[-1]4,half,20160,4,9,6
A,,4,A4,half,20160,1,10,6
G,,4,G4,quarter,10080,2,10,6
F,,4,F4,quarter,10080,3,10,6
E,,4,E4,half,20160,4,10,6
G,,4,G4,half,20160,5,10,6
B,-1,4,B[-1]4,quarter,10080,1,11,6
A,,4,A4,quarter,10080,2,11,6
G,,4,G4,half,20160,3,11,6
F,,4,F4,half,20160,4,11,6
Rest,,,Rest,half,20160,5,11,6
