step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
B,,4,B4,quarter,10080,2,1,6
A,,4,A4,quarter,10080,3,1,6
G,1,4,G[1]4,quarter,10080,4,1,6
F,1,4,F[1]4,quarter,10080,5,1,6
E,,4,E4,half,20160,6,1,6
F,1,4,F[1]4,half,20160,7,1,6
G,1,4,G[1]4,half,20160,1,2,6
G,1,4,G[1]4,half,20160,2,2,6
F,1,4,F[1]4,half,20160,3,2,6
F,1,4,F[1]4,half,20160,4,2,6
G,1,4,G[1]4,half,20160,1,3,6
A,,4,A4,half,20160,2,3,6
B,,4,B4,half,20160,3,3,6
B,,4,B4,half,20160,4,3,6
C,1,5,C[1]5,half,30240,1,4,6
B,,4,B4,quarter,10080,2,4,6
A,,4,A4,half,20160,3,4,6
B,,4,B4,quarter,10080,4,4,6
C,1,5,C[1]5,quarter,10080,5,4,6
D,,5,D5,half,20160,1,5,6
B,,4,B4,half,20160,2,5,6
C,1,5,C[1]5,half,20160,3,5,6
C,1,5,C[1]5,half,20160,4,5,6
B,,4,B4,half,30240,1,6,6
E,,4,E4,quarter,10080,2,6,6
B,,4,B4,whole,40320,3,6,6
D,,5,D5,whole,40320,1,7,6
D,,5,D5,half,20160,2,7,6
C,1,5,C[1]5,half,20160,3,7,6
B,,4,B4,half,20160,1,8,6
A,,4,A4,quarter,10080,2,8,6
G,0,4,G4,quarter,10080,3,8,6
F,1,4,F[1]4,whole,40320,4,8,6
D,,5,D5,whole,40320,1,9,6
D,,5,D5,half,20160,2,9,6
C,1,5,C[1]5,half,20160,3,9,6
B,,4,B4,half,20160,1,10,6
A,,4,A4,quarter,10080,2,10,6
G,0,4,G4,quarter,10080,3,10,6
F,1,4,F[1]4,half,20160,4,10,6
F,1,4,F[1]4,half,20160,5,10,6
B,,4,B4,whole,40320,1,11,6
A,,4,A4,whole,40320,2,11,6
G,1,4,G[1]4,half,30240,1,12,6
F,1,4,F[1]4,quarter,10080,2,12,6
E,,4,E4,half,20160,3,12,6
B,,4,B4,half,20160,4,12,6
C,1,5,C[1]5,half,20160,1,13,6
B,,4,B4,half,20160,2,13,6
C,1,5,C[1]5,half,20160,3,13,6
D,,5,D5,half,20160,4,13,6
E,,5,E5,half,20160,1,14,6
D,,5,D5,quarter,10080,2,14,6
C,1,5,C[1]5,quarter,10080,3,14,6
B,,4,B4,half,20160,4,14,6
A,,4,A4,half,20160,5,14,6
G,1,4,G[1]4,half,20160,1,15,6
F,1,4,F[1]4,half,20160,2,15,6
G,1,4,G[1]4,half,20160,3,15,6
A,,4,A4,half,20160,4,15,6
B,,4,B4,half,20160,1,16,6
A,,4,A4,quarter,10080,2,16,6
G,1,4,G[1]4,quarter,10080,3,16,6
F,1,4,F[1]4,half,20160,4,16,6
B,,4,B4,half,20160,5,16,6
C,1,5,C[1]5,whole,40320,1,17,6
B,,4,B4,whole,40320,2,17,6
G,1,4,G[1]4,half,30240,1,18,6
F,1,4,F[1]4,quarter,10080,2,18,6
E,,4,E4,half,20160,3,18,6
E,,4,E4,half,20160,4,18,6
C,1,5,C[1]5,whole,40320,1,19,6
B,,4,B4,whole,40320,2,19,6
A,,4,A4,half,30240,1,20,6
F,1,4,F[1]4,quarter,10080,2,20,6
A,,4,A4,whole,40320,3,20,6
