step,octave,type,duration,noteCount,measureCount,partCount
F,4,whole,40320,2,1,6
D,4,half,20160,1,2,6
E,4,half,20160,2,2,6
F,4,half,20160,3,2,6
G,4,half,20160,4,2,6
A,4,whole,40320,1,3,6
A,4,whole,40320,2,3,6
A,4,whole,40320,2,4,6
G,4,whole,40320,2,5,6
E,4,half,20160,3,5,6
F,4,half,20160,4,5,6
D,4,whole,40320,2,6,6
C,4,whole,40320,2,7,6
Rest,,half,20160,3,7,6
F,4,half,20160,4,7,6
F,4,half,20160,1,8,6
A,4,half,20160,2,8,6
G,4,half,20160,3,8,6
F,4,half,20160,4,8,6
E,4,whole,40320,1,9,6
D,4,half,20160,2,9,6
F,4,half,20160,3,9,6
E,4,half,20160,1,10,6
D,4,half,20160,2,10,6
C,4,half,20160,3,10,6
D,4,half,20160,4,10,6
B,3,whole,40320,2,11,6
A,3,whole,40320,2,12,6
Rest,,half,20160,3,12,6
A,3,half,20160,4,12,6
A,3,half,20160,2,13,6
A,3,half,20160,3,13,6
D,4,whole,40320,2,14,6
D,4,half,20160,3,14,6
C,4,half,20160,4,14,6
C,4,quarter,10080,2,15,6
B,3,quarter,10080,3,15,6
A,3,quarter,10080,4,15,6
G,3,quarter,10080,5,15,6
F,3,whole,40320,2,16,6
Rest,,half,20160,3,16,6
F,4,half,20160,4,16,6
D,4,half,20160,1,17,6
E,4,half,20160,2,17,6
F,4,half,20160,3,17,6
G,4,half,20160,4,17,6
A,4,whole,60480,1,18,6
G,4,quarter,10080,2,18,6
F,4,quarter,10080,3,18,6
E,4,whole,40320,1,19,6
G,4,whole,40320,2,19,6
F,4,half,20160,1,20,6
D,4,whole,40320,2,20,6
C,4,half,20160,3,20,6
D,4,half,20160,2,21,6
B,3,half,20160,3,21,6
A,3,breve,80640,2,22,6
