step,octave,type,duration,noteCount,measureCount,partCount
G,4,half,20160,2,1,6
G,4,whole,40320,1,2,6
G,4,half,20160,2,2,6
D,5,whole,40320,1,3,6
D,5,half,20160,2,3,6
D,5,half,30240,1,4,6
C,5,quarter,10080,2,4,6
B,4,half,20160,3,4,6
A,4,whole,40320,1,5,6
G,4,half,20160,2,5,6
C,5,whole,40320,1,6,6
C,5,half,20160,2,6,6
D,5,whole,40320,1,7,6
C,5,half,20160,2,7,6
B,4,half,20160,1,8,6
A,4,whole,40320,2,8,6
G,4,whole,40320,1,9,6
G,4,half,20160,2,9,6
A,4,whole,40320,1,10,6
A,4,half,20160,2,10,6
A,4,whole,40320,1,11,6
C,5,half,20160,2,11,6
B,4,whole,40320,1,12,6
A,4,half,20160,2,12,6
G,4,whole,40320,1,13,6
B,4,half,20160,2,13,6
A,4,whole,40320,1,14,6
G,4,half,20160,2,14,6
F,4,whole,40320,1,15,6
G,4,half,20160,2,15,6
A,4,whole,40320,1,16,6
A,4,half,20160,2,16,6
D,5,whole,40320,1,17,6
C,5,half,20160,2,17,6
B,4,half,20160,1,18,6
A,4,whole,40320,2,18,6
G,4,whole,40320,1,19,6
Rest,,half,20160,2,19,6
