step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
D,,4,D4,quarter,10080,2,1,6
D,,4,D4,quarter,10080,3,1,6
D,,4,D4,quarter,10080,4,1,6
A,,4,A4,quarter,10080,1,2,6
A,,4,A4,quarter,10080,2,2,6
C,0,5,C5,quarter,15120,3,2,6
A,,4,A4,eighth,5040,4,2,6
F,0,4,F4,half,20160,1,3,6
Rest,,,Rest,quarter,10080,2,3,6
F,1,4,F[1]4,quarter,10080,3,3,6
A,,4,A4,quarter,10080,1,4,6
B,-1,4,B[-1]4,quarter,10080,2,4,6
C,0,5,C5,quarter,10080,3,4,6
D,,5,D5,quarter,10080,4,4,6
B,-1,4,B[-1]4,half,20160,1,5,6
A,,4,A4,half,20160,2,5,6
Rest,,,Rest,quarter,10080,1,6,6
D,,4,D4,quarter,10080,2,6,6
D,,4,D4,quarter,10080,3,6,6
E,,4,E4,quarter,10080,4,6,6
F,0,4,F4,quarter,10080,1,7,6
G,,4,G4,quarter,10080,2,7,6
A,,4,A4,quarter,15120,3,7,6
A,,4,A4,eighth,5040,4,7,6
D,,4,D4,half,20160,1,8,6
Rest,,,Rest,quarter,10080,2,8,6
A,,4,A4,quarter,10080,3,8,6
C,0,5,C5,quarter,10080,1,9,6
A,,4,A4,quarter,10080,2,9,6
G,,4,G4,quarter,15120,3,9,6
F,0,4,F4,eighth,5040,4,9,6
E,,4,E4,half,20160,1,10,6
D,,4,D4,half,20160,2,10,6
Rest,,,Rest,quarter,10080,1,11,6
Rest,,,Rest,half,30240,2,11,6
