step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
D,,5,D5,quarter,10080,2,1,6
D,,5,D5,quarter,10080,1,2,6
D,,5,D5,quarter,10080,2,2,6
E,,5,E5,quarter,10080,3,2,6
D,,5,D5,quarter,10080,4,2,6
C,,5,C5,half,20160,1,3,6
C,,5,C5,quarter,10080,2,3,6
B,,4,B4,quarter,10080,3,3,6
C,,5,C5,quarter,10080,1,4,6
B,,4,B4,quarter,10080,2,4,6
A,,4,A4,quarter,10080,3,4,6
A,,4,A4,quarter,10080,4,4,6
B,,4,B4,half,20160,1,5,6
Rest,,,Rest,quarter,10080,2,5,6
A,,4,A4,quarter,10080,3,5,6
A,,4,A4,quarter,10080,1,6,6
B,,4,B4,quarter,10080,2,6,6
C,,5,C5,quarter,10080,3,6,6
D,,5,D5,quarter,10080,4,6,6
E,,5,E5,half,20160,1,7,6
E,,5,E5,quarter,10080,2,7,6
D,,5,D5,quarter,10080,3,7,6
C,,5,C5,quarter,10080,1,8,6
B,,4,B4,quarter,10080,2,8,6
A,,4,A4,quarter,10080,3,8,6
A,,4,A4,quarter,10080,4,8,6
G,,4,G4,half,20160,1,9,6
Rest,,,Rest,quarter,10080,2,9,6
E,,5,E5,quarter,10080,3,9,6
E,,5,E5,quarter,10080,1,10,6
E,,5,E5,quarter,10080,2,10,6
D,,5,D5,quarter,10080,3,10,6
C,,5,C5,quarter,10080,4,10,6
B,,4,B4,quarter,10080,1,11,6
A,,4,A4,quarter,10080,2,11,6
B,,4,B4,quarter,10080,3,11,6
D,,5,D5,quarter,10080,4,11,6
E,,5,E5,quarter,10080,1,12,6
E,,5,E5,quarter,10080,2,12,6
D,,5,D5,quarter,10080,3,12,6
C,,5,C5,quarter,10080,4,12,6
B,,4,B4,quarter,10080,1,13,6
A,,4,A4,quarter,10080,2,13,6
B,,4,B4,quarter,10080,3,13,6
D,,5,D5,quarter,10080,4,13,6
F,1,5,F[1]5,quarter,10080,1,14,6
E,,5,E5,quarter,10080,2,14,6
D,,5,D5,quarter,10080,3,14,6
C,1,5,C[1]5,quarter,10080,4,14,6
D,,5,D5,half,20160,1,15,6
Rest,,,Rest,quarter,10080,2,15,6
E,,5,E5,quarter,10080,3,15,6
F,1,5,F[1]5,quarter,10080,1,16,6
E,,5,E5,quarter,10080,2,16,6
D,,5,D5,quarter,10080,3,16,6
C,1,5,C[1]5,quarter,10080,4,16,6
D,,5,D5,half,20160,1,17,6
Rest,,,Rest,quarter,10080,2,17,6
B,,4,B4,quarter,10080,3,17,6
B,,4,B4,quarter,10080,1,18,6
A,,4,A4,quarter,10080,2,18,6
B,,4,B4,quarter,10080,3,18,6
C,,5,C5,quarter,10080,4,18,6
D,,5,D5,half,20160,1,19,6
A,,4,A4,quarter,10080,2,19,6
B,,4,B4,quarter,10080,3,19,6
B,,4,B4,quarter,10080,1,20,6
A,,4,A4,quarter,10080,2,20,6
B,,4,B4,quarter,10080,3,20,6
C,,5,C5,quarter,10080,4,20,6
D,,5,D5,half,20160,1,21,6
A,,4,A4,quarter,10080,2,21,6
C,,5,C5,quarter,10080,3,21,6
B,,4,B4,quarter,10080,1,22,6
C,,5,C5,quarter,10080,2,22,6
A,,4,A4,quarter,10080,3,22,6
A,,4,A4,quarter,10080,4,22,6
G,,4,G4,half,20160,1,23,6
Rest,,,Rest,quarter,10080,2,23,6
Rest,,,Rest,quarter,10080,3,23,6
