step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
D,,4,D4,half,20160,2,1,6
G,,4,G4,whole,40320,1,2,6
A,,4,A4,half,20160,2,2,6
B,,4,B4,whole,40320,1,3,6
B,,4,B4,half,20160,2,3,6
D,,5,D5,whole,40320,1,4,6
C,0,5,C5,half,20160,2,4,6
B,,4,B4,whole,40320,1,5,6
A,,4,A4,half,20160,2,5,6
B,,4,B4,whole,40320,1,6,6
A,,4,A4,half,20160,2,6,6
G,,4,G4,whole,40320,1,7,6
G,,4,G4,half,20160,2,7,6
A,,4,A4,whole,40320,1,8,6
B,,4,B4,half,20160,2,8,6
B,,4,B4,whole,40320,1,9,6
A,,4,A4,half,20160,2,9,6
G,,4,G4,whole,40320,1,10,6
F,0,4,F4,half,20160,2,10,6
E,,4,E4,whole,40320,1,11,6
E,,4,E4,half,20160,2,11,6
G,,4,G4,whole,40320,1,12,6
E,,4,E4,half,20160,2,12,6
D,,4,D4,whole,40320,1,13,6
E,,4,E4,half,20160,2,13,6
C,0,4,C4,whole,40320,1,14,6
D,,4,D4,half,20160,2,14,6
E,,4,E4,whole,40320,1,15,6
E,,4,E4,half,20160,2,15,6
F,0,4,F4,whole,40320,1,16,6
E,,4,E4,half,20160,2,16,6
D,,4,D4,whole,40320,1,17,6
D,,4,D4,half,20160,2,17,6
G,,4,G4,whole,40320,1,18,6
C,0,5,C5,half,20160,2,18,6
B,,4,B4,whole,40320,1,19,6
G,,4,G4,half,20160,2,19,6
G,,4,G4,whole,40320,1,20,6
B,,4,B4,half,20160,2,20,6
B,,4,B4,whole,40320,1,21,6
A,,4,A4,half,20160,2,21,6
G,,4,G4,whole,40320,1,22,6
D,,4,D4,half,20160,2,22,6
G,,4,G4,whole,40320,1,23,6
C,0,5,C5,half,20160,2,23,6
B,,4,B4,whole,40320,1,24,6
G,,4,G4,half,20160,2,24,6
G,,4,G4,whole,40320,1,25,6
B,,4,B4,half,20160,2,25,6
B,,4,B4,whole,40320,1,26,6
A,,4,A4,half,20160,2,26,6
G,,4,G4,whole,40320,1,27,6
F,0,4,F4,half,20160,2,27,6
E,,4,E4,whole,40320,1,28,6
D,,4,D4,half,20160,2,28,6
D,,4,D4,half,20160,2,29,6
A,,4,A4,whole,40320,2,30,6
G,,4,G4,half,20160,3,30,6
F,0,4,F4,half,20160,2,31,6
E,,4,E4,whole,40320,2,32,6
A,,4,A4,half,20160,3,32,6
A,,4,A4,half,20160,2,33,6
E,,4,E4,whole,60480,2,34,6
