step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
F,,4,F4,half,20160,2,1,6
F,,4,F4,half,30240,1,2,6
G,,4,G4,quarter,10080,2,2,6
A,,4,A4,half,20160,3,2,6
B,-1,4,B[-1]4,whole,40320,1,3,6
A,,4,A4,half,20160,2,3,6
F,,4,F4,half,20160,1,4,6
A,,4,A4,whole,40320,2,4,6
G,,4,G4,whole,60480,1,5,6
Rest,,,Rest,whole,40320,1,6,6
F,,4,F4,half,20160,2,6,6
F,,4,F4,half,30240,1,7,6
G,,4,G4,quarter,10080,2,7,6
A,,4,A4,half,20160,3,7,6
B,-1,4,B[-1]4,whole,40320,1,8,6
A,,4,A4,half,20160,2,8,6
F,,4,F4,half,20160,1,9,6
A,,4,A4,whole,40320,2,9,6
G,,4,G4,whole,60480,1,10,6
Rest,,,Rest,half,20160,1,11,6
F,,4,F4,half,20160,2,11,6
E,,4,E4,half,20160,3,11,6
F,,4,F4,half,20160,2,12,6
G,,4,G4,whole,40320,2,13,6
F,,4,F4,half,20160,3,13,6
E,,4,E4,half,20160,2,14,6
D,,4,D4,whole,40320,2,15,6
C,,4,C4,half,20160,3,15,6
C,,4,C4,half,20160,2,16,6
C,,5,C5,whole,60480,2,17,6
B,-1,4,B[-1]4,quarter,10080,2,18,6
A,,4,A4,quarter,10080,3,18,6
G,,4,G4,half,20160,2,19,6
C,,5,C5,half,20160,3,19,6
B,-1,4,B[-1]4,half,20160,4,19,6
B,-1,4,B[-1]4,half,20160,2,20,6
A,,4,A4,half,30240,2,21,6
G,,4,G4,quarter,10080,3,21,6
F,,4,F4,half,20160,4,21,6
A,,4,A4,half,20160,2,22,6
G,,4,G4,whole,40320,2,23,6
F,,4,F4,half,20160,3,23,6
F,,4,F4,half,20160,2,24,6
Rest,,,Rest,whole,40320,2,25,6
Rest,,,Rest,half,20160,3,25,6
