step,octave,type,duration,noteCount,measureCount,partCount
F,4,half,20160,2,1,6
F,4,half,20160,1,2,6
A,4,half,20160,2,2,6
G,4,half,20160,3,2,6
F,4,half,20160,4,2,6
E,4,whole,40320,1,3,6
D,4,whole,40320,2,3,6
A,4,whole,40320,2,4,6
B,4,half,20160,2,5,6
G,4,whole,40320,3,5,6
A,4,half,20160,4,5,6
G,4,whole,40320,2,6,6
F,4,whole,60480,2,7,6
F,4,half,20160,3,7,6
F,4,half,20160,1,8,6
A,4,half,20160,2,8,6
G,4,half,20160,3,8,6
F,4,half,20160,4,8,6
E,4,whole,40320,1,9,6
D,4,whole,40320,2,9,6
A,4,whole,40320,2,10,6
B,4,half,20160,2,11,6
G,4,whole,40320,3,11,6
A,4,half,20160,4,11,6
G,4,whole,40320,2,12,6
F,4,whole,60480,2,13,6
F,4,half,20160,3,13,6
A,4,half,20160,1,14,6
A,4,half,20160,2,14,6
B,4,half,20160,3,14,6
B,4,half,20160,4,14,6
C,5,whole,40320,1,15,6
G,4,whole,40320,2,15,6
C,5,whole,40320,2,16,6
A,4,whole,40320,2,17,6
A,4,half,20160,3,17,6
G,4,half,20160,4,17,6
G,4,half,20160,2,18,6
F,4,half,20160,3,18,6
E,4,whole,40320,2,19,6
D,4,whole,40320,3,19,6
A,4,whole,40320,2,20,6
B,4,half,20160,2,21,6
G,4,whole,40320,3,21,6
A,4,half,20160,4,21,6
G,4,whole,40320,2,22,6
F,4,whole,60480,2,23,6
Rest,,half,20160,3,23,6
