step,octave,type,duration,noteCount,measureCount,partCount
F,4,whole,40320,2,1,6
F,4,whole,40320,3,1,6
F,4,whole,40320,4,1,6
G,4,whole,40320,1,2,6
A,4,whole,40320,2,2,6
B,4,whole,40320,3,2,6
B,4,whole,40320,4,2,6
A,4,whole,40320,1,3,6
G,4,whole,40320,2,3,6
Rest,,whole,40320,3,3,6
G,4,whole,40320,4,3,6
C,5,whole,40320,1,4,6
C,5,whole,40320,2,4,6
B,4,whole,40320,3,4,6
F,4,whole,40320,4,4,6
G,4,whole,40320,1,5,6
A,4,whole,40320,2,5,6
B,4,whole,40320,3,5,6
Rest,,whole,40320,4,5,6
G,4,whole,40320,1,6,6
B,4,whole,40320,2,6,6
A,4,whole,60480,3,6,6
G,4,half,20160,4,6,6
C,5,whole,40320,1,7,6
B,4,whole,40320,2,7,6
A,4,breve,80640,3,7,6
Rest,,whole,40320,1,8,6
G,4,whole,40320,2,8,6
A,4,whole,40320,3,8,6
B,4,whole,40320,4,8,6
C,5,whole,40320,1,9,6
F,4,whole,40320,2,9,6
G,4,breve,80640,3,9,6
F,4,long,161280,1,10,6
Rest,,whole,40320,1,11,6
Rest,,breve,120960,2,11,6
