step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
D,,4,D4,quarter,10080,2,1,6
E,,4,E4,quarter,10080,3,1,6
F,0,4,F4,half,30240,1,2,6
E,,4,E4,quarter,10080,2,2,6
F,1,4,F[1]4,half,20160,3,2,6
G,,4,G4,half,30240,1,3,6
F,0,4,F4,quarter,10080,2,3,6
G,,4,G4,half,20160,3,3,6
A,,4,A4,whole,60480,1,4,6
A,,4,A4,half,20160,1,5,6
Rest,,,Rest,half,20160,2,5,6
A,,4,A4,half,20160,3,5,6
G,,4,G4,half,30240,1,6,6
A,,4,A4,quarter,10080,2,6,6
B,-1,4,B[-1]4,half,20160,3,6,6
A,,4,A4,half,30240,1,7,6
B,-1,4,B[-1]4,quarter,10080,2,7,6
G,,4,G4,half,20160,3,7,6
F,0,4,F4,whole,60480,1,8,6
F,1,4,F[1]4,whole,40320,1,9,6
F,0,4,F4,quarter,10080,2,9,6
G,,4,G4,quarter,10080,3,9,6
A,,4,A4,whole,40320,1,10,6
A,,4,A4,half,20160,2,10,6
C,0,5,C5,half,30240,1,11,6
B,-1,4,B[-1]4,quarter,10080,2,11,6
A,,4,A4,half,20160,3,11,6
G,,4,G4,whole,60480,1,12,6
E,,4,E4,half,20160,1,13,6
A,,4,A4,half,20160,2,13,6
G,,4,G4,half,20160,3,13,6
F,0,4,F4,half,30240,1,14,6
E,,4,E4,quarter,10080,2,14,6
D,,4,D4,half,20160,3,14,6
C,1,4,C[1]4,half,30240,1,15,6
D,,4,D4,quarter,10080,2,15,6
E,,4,E4,half,20160,3,15,6
D,,4,D4,whole,60480,1,16,6
D,,4,D4,whole,40320,1,17,6
Rest,,,Rest,half,20160,2,17,6
